@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod-weka.filters.unsupervised.attribute.Remove-R2-8'

@attribute y numeric
@attribute Abilitato {No,Si}

@data
21,Si
12,Si
11,Si
16,Si
14,Si
16,Si
5,Si
34,Si
18,Si
20,Si
35,Si
11,Si
13,Si
21,Si
31,Si
10,Si
17,Si
27,Si
11,Si
19,Si
16,Si
10,Si
19,Si
21,Si
22,Si
23,Si
14,Si
12,Si
5,Si
8,Si
22,Si
29,Si
15,Si
22,Si
12,Si
22,Si
13,Si
11,Si
70,Si
19,Si
33,Si
25,Si
12,Si
17,Si
12,Si
19,Si
36,Si
21,Si
11,Si
17,Si
20,Si
21,Si
22,Si
22,Si
12,Si
22,Si
22,Si
17,Si
19,Si
11,Si
20,Si
32,Si
23,Si
15,Si
10,Si
23,Si
8,Si
12,Si
41,Si
13,Si
19,Si
13,Si
17,No
9,No
14,No
23,No
14,No
15,No
19,No
18,No
8,No
22,No
7,No
16,No
10,No
12,No
16,No
16,No
21,No
14,No
20,No
12,No
10,No
11,No
8,No
14,No
23,No
19,No
13,No
13,No
16,No
15,No
6,No
24,No
24,No
17,No
14,No
9,No
15,No
5,No
16,No
16,No
19,No
20,No
10,No
13,No
19,No
12,No
17,No
9,No
8,No
25,No
17,No
20,No
15,No
8,No
15,No
15,No
16,No
15,No
14,No
22,No
16,No
25,No
7,No
11,No
27,No
17,No
17,No
13,No
8,No
16,No
12,No
7,No
18,No
20,No
28,Si
24,Si
11,Si
11,Si
21,Si
10,Si
37,Si
31,Si
24,Si
12,Si
24,Si
12,Si
10,Si
14,Si
55,Si
16,Si
12,Si
14,Si
20,Si
9,Si
20,Si
10,Si
25,Si
14,Si
17,Si
19,Si
10,Si
38,Si
14,Si
21,Si
13,Si
32,Si
16,Si
18,Si
14,Si
21,Si
16,Si
22,Si
14,Si
21,Si
12,Si
13,Si
30,Si
16,Si
17,Si
20,Si
18,Si
12,Si
18,Si
20,Si
19,Si
18,Si
21,Si
16,Si
19,Si
14,Si
81,Si
18,Si
22,Si
25,Si
18,Si
23,Si
18,Si
23,Si
11,Si
16,Si
22,Si
23,Si
13,Si
10,Si
14,Si
25,Si
27,No
19,No
18,No
22,No
18,No
27,No
22,No
19,No
23,No
11,No
20,No
17,No
16,No
20,No
24,No
21,No
21,No
15,No
28,Si
23,Si
7,Si
19,Si
24,Si
22,Si
13,Si
20,Si
29,Si
21,Si
30,Si
20,Si
18,Si
24,Si
14,Si
15,Si
12,Si
31,Si
31,Si
16,Si
16,Si
14,Si
10,Si
31,Si
18,Si
24,Si
16,Si
13,Si
11,Si
12,Si
9,Si
10,Si
11,Si
12,Si
17,Si
11,Si
14,Si
14,Si
24,Si
10,Si
15,Si
5,Si
14,Si
15,Si
13,Si
9,Si
8,Si
15,Si
18,No
19,No
19,No
16,No
24,No
12,No
16,No
26,No
16,No
22,No
21,No
26,No
14,No
19,No
20,No
15,No
18,No
27,No
26,No
18,No
22,No
25,No
23,No
22,No
23,No
11,Si
10,Si
13,Si
12,Si
11,Si
12,Si
18,Si
15,Si
21,Si
13,Si
14,Si
10,Si
13,Si
11,Si
15,Si
14,Si
16,Si
11,Si
11,Si
16,Si
10,Si
12,Si
5,Si
19,Si
13,Si
13,Si
11,Si
6,Si
12,Si
14,Si
19,Si
16,Si
15,Si
17,No
14,No
18,No
22,No
18,No
18,No
16,No
19,No
19,No
21,No
14,No
16,No
16,No
26,No
21,No
16,No
20,No
17,No
20,No
20,No
17,No
11,Si
10,Si
10,Si
12,Si
10,Si
8,Si
11,Si
18,Si
9,Si
15,Si
12,Si
14,Si
13,Si
10,Si
10,Si
10,Si
14,Si
11,Si
20,Si
13,Si
18,Si
11,Si
11,Si
5,Si
16,Si
15,Si
18,Si
14,No
24,No
27,No
21,No
15,No
23,No
13,No
19,No
21,No
24,No
22,No
18,No
23,No
14,No
16,No
13,No
18,No
10,No
18,No
15,No
21,No
10,No
14,No
22,No
10,No
19,No
23,No
19,No
16,No
19,No
27,No
14,No
15,No
19,No
24,No
16,Si
24,Si
10,Si
15,Si
10,Si
8,Si
10,Si
20,Si
22,Si
11,Si
11,Si
12,Si
18,Si
10,Si
9,Si
12,Si
14,Si
17,Si
11,Si
11,Si
12,Si
14,Si
13,Si
13,Si
20,No
20,No
22,No
20,No
18,No
24,No
16,No
20,No
17,No
14,No
23,No
19,No
16,No
18,No
11,No
17,No
13,No
13,No
18,No
19,No
12,No
25,No
10,No
14,Si
8,Si
12,Si
21,Si
14,Si
20,Si
10,Si
13,Si
10,Si
11,Si
11,Si
7,Si
16,Si
11,Si
13,Si
15,Si
13,Si
13,Si
16,Si
19,Si
24,No
19,No
22,No
16,No
22,No
22,No
17,No
18,No
24,No
18,No
20,No
19,No
19,No
19,No
17,No
14,No
25,No
20,No
24,No
15,No
18,No
24,No
14,No
18,No
16,No
16,No
17,No
21,No
14,No
12,No
27,No
23,No
24,No
19,No
20,No
17,No
18,No
26,No
24,No
22,No
26,No
20,No
21,No
16,No
23,No
19,No
23,No
19,No
18,No
20,No
16,No
14,No
18,No
18,No
21,No
11,No
15,No
19,No
20,No
26,No
21,No
22,No
20,No
13,No
20,No
18,No
27,No
20,No
25,No
20,No
21,No
18,No
16,No
19,No
25,No
16,No
12,No
27,No
25,No
22,No
21,No
13,No
19,No
12,No
25,No
21,No
17,No
20,No
17,No
15,No
18,No
20,No
18,No
19,No
21,No
25,No
26,No
17,No
12,No
18,No
