@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod'

@attribute y numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
21,1.909091,33,398,12.060606,0.636364,11,F,Si
12,1.714286,61,146,2.393443,0.196721,7,M,Si
11,1.375,15,86,5.733333,0.733333,8,F,Si
16,1.777778,34,405,11.911765,0.470588,9,M,Si
14,1.75,62,248,4,0.225806,8,F,Si
16,2.285714,32,217,6.78125,0.5,7,F,Si
5,?,23,51,2.217391,0.217391,?,M,Si
34,2.266667,36,487,13.527778,0.944444,15,M,Si
18,9,37,20,0.540541,0.486486,2,M,Si
20,2.857143,23,223,9.695652,0.869565,7,F,Si
35,2.058824,65,1508,23.2,0.538462,17,M,Si
11,0.846154,43,667,15.511628,0.255814,13,F,Si
13,1.181818,20,232,11.6,0.65,11,M,Si
21,1.4,42,756,18,0.5,15,M,Si
31,3.444444,39,485,12.435897,0.794872,9,M,Si
10,1.111111,48,494,10.291667,0.208333,9,F,Si
17,2.125,46,381,8.282609,0.369565,8,M,Si
27,1.8,43,794,18.465116,0.627907,15,F,Si
11,1.222222,12,148,12.333333,0.916667,9,F,Si
19,0.95,19,468,24.631579,1,20,M,Si
16,1.454545,47,481,10.234043,0.340426,11,M,Si
10,1.428571,15,157,10.466667,0.666667,7,F,Si
19,1.461538,108,1674,15.5,0.175926,13,M,Si
21,2.1,89,1060,11.910112,0.235955,10,M,Si
22,1.222222,26,655,25.192308,0.846154,18,M,Si
23,1.916667,34,473,13.911765,0.676471,12,F,Si
14,1.4,16,226,14.125,0.875,10,M,Si
12,1.2,51,708,13.882353,0.235294,10,F,Si
5,?,23,97,4.217391,0.217391,?,M,Si
8,?,29,95,3.275862,0.275862,?,F,Si
22,1.833333,49,714,14.571429,0.44898,12,M,Si
29,3.222222,39,351,9,0.74359,9,M,Si
15,2.5,15,86,5.733333,1,6,M,Si
22,2.444444,34,311,9.147059,0.647059,9,M,Si
12,2,30,151,5.033333,0.4,6,M,Si
22,2.2,23,269,11.695652,0.956522,10,M,Si
13,2.166667,16,131,8.1875,0.8125,6,F,Si
11,1.1,41,559,13.634146,0.268293,10,M,Si
70,6.363636,76,1123,14.776316,0.921053,11,F,Si
19,3.8,26,25,0.961538,0.730769,5,M,Si
33,2.0625,59,783,13.271186,0.559322,16,M,Si
25,2.083333,33,666,20.181818,0.757576,12,M,Si
12,0.705882,44,904,20.545455,0.272727,17,M,Si
17,1.545455,72,1136,15.777778,0.236111,11,M,Si
12,0.857143,42,803,19.119048,0.285714,14,M,Si
19,1.727273,56,840,15,0.339286,11,M,Si
36,1.714286,37,1086,29.351351,0.972973,21,F,Si
21,1,37,678,18.324324,0.567568,21,M,Si
11,0.916667,11,184,16.727273,1,12,F,Si
17,1.7,21,327,15.571429,0.809524,10,M,Si
20,2.857143,31,206,6.645161,0.645161,7,M,Si
21,1.5,21,368,17.52381,1,14,M,Si
22,2.2,22,329,14.954545,1,10,M,Si
22,1.571429,29,430,14.827586,0.758621,14,F,Si
12,1.2,45,554,12.311111,0.266667,10,M,Si
22,1.833333,25,262,10.48,0.88,12,M,Si
22,2.75,25,158,6.32,0.88,8,M,Si
17,1.214286,19,285,15,0.894737,14,F,Si
19,0.904762,22,640,29.090909,0.863636,21,M,Si
11,1.222222,20,153,7.65,0.55,9,M,Si
20,1.666667,92,755,8.206522,0.217391,12,F,Si
32,4.571429,42,259,6.166667,0.761905,7,M,Si
23,2.555556,23,325,14.130435,1,9,M,Si
15,1.5,15,215,14.333333,1,10,M,Si
10,0.909091,44,811,18.431818,0.227273,11,M,Si
23,2.090909,26,327,12.576923,0.884615,11,F,Si
8,?,43,137,3.186047,0.186047,?,F,Si
12,?,18,48,2.666667,0.666667,?,F,Si
41,2.277778,47,963,20.489362,0.87234,18,F,Si
13,1.083333,17,293,17.235294,0.764706,12,F,Si
19,4.75,44,147,3.340909,0.431818,4,M,Si
13,2.166667,83,296,3.566265,0.156627,6,M,Si
17,1.416667,54,669,12.388889,0.314815,12,F,No
9,?,16,41,2.5625,0.5625,?,M,No
14,2.333333,28,211,7.535714,0.5,6,M,No
23,2.090909,25,265,10.6,0.92,11,F,No
14,1.4,21,310,14.761905,0.666667,10,M,No
15,?,49,113,2.306122,0.306122,?,M,No
19,1.461538,19,311,16.368421,1,13,M,No
18,1.125,46,1120,24.347826,0.391304,16,M,No
8,0.242424,37,1422,38.432432,0.216216,33,M,No
22,3.142857,26,177,6.807692,0.846154,7,F,No
7,?,13,20,1.538462,0.538462,?,M,No
