@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod-weka.filters.unsupervised.attribute.Remove-R2-8'

@attribute y numeric
@attribute Abilitato {No,Si}

@data
15,No
19,No
6,No
6,No
10,No
22,No
15,No
6,No
8,No
20,No
8,No
21,No
7,No
25,No
15,No
20,No
8,No
13,No
17,No
17,No
21,No
11,No
16,No
11,No
10,No
7,No
24,No
10,No
15,No
13,No
10,No
17,No
12,No
15,No
12,No
11,No
14,No
9,No
15,No
7,No
14,No
23,No
13,No
7,No
15,No
15,No
11,No
11,No
24,No
23,No
22,No
18,No
11,No
18,No
16,No
6,No
18,No
21,No
11,No
13,No
18,No
14,No
7,No
15,No
24,No
13,No
24,No
14,No
13,No
23,No
15,No
12,No
13,No
17,No
10,No
8,No
13,No
16,No
14,No
14,No
14,No
6,No
14,No
15,No
15,No
22,No
11,No
9,No
26,No
26,No
10,No
14,No
14,No
8,No
15,No
6,No
13,No
20,No
19,No
15,No
14,No
23,No
16,No
25,No
5,No
9,No
7,No
12,No
27,No
13,No
23,No
20,No
14,No
13,No
12,No
15,No
6,No
14,No
19,No
9,No
21,No
10,No
12,No
17,No
14,No
6,No
17,No
15,No
14,No
7,No
10,No
17,No
14,No
14,No
20,No
11,No
19,No
18,No
17,No
7,No
9,No
14,No
16,No
16,No
20,No
14,No
19,No
15,No
20,No
13,No
20,No
10,No
8,No
13,No
19,No
10,No
15,No
15,No
20,No
14,No
20,No
13,No
14,No
20,No
18,No
14,No
16,No
16,No
13,No
18,No
15,No
16,No
14,No
6,No
7,No
17,No
7,No
13,No
19,No
8,No
27,No
18,No
17,No
19,No
11,No
12,No
19,No
10,No
13,No
12,No
11,No
13,No
16,No
17,No
15,No
14,No
24,No
18,No
15,No
25,No
15,No
19,No
10,No
12,No
18,No
18,No
20,No
13,No
7,No
18,No
6,No
13,No
10,No
15,No
17,No
17,No
17,No
12,No
14,No
22,No
14,No
15,No
22,No
19,No
10,No
19,No
8,No
8,No
24,No
12,No
25,No
10,No
27,No
16,No
16,No
9,No
5,No
15,No
17,No
11,No
27,No
25,No
16,No
8,No
13,No
20,No
11,No
9,No
20,No
10,No
16,No
15,No
9,No
10,No
14,No
11,No
23,No
24,No
25,No
10,No
5,No
13,No
21,No
24,No
20,No
19,No
15,No
16,No
16,No
15,No
16,No
18,No
16,No
7,No
14,No
20,No
13,No
13,No
8,No
15,No
16,No
15,No
17,No
20,No
9,No
12,No
12,No
13,No
11,No
18,No
8,No
8,No
17,No
27,No
12,No
14,No
12,No
9,No
16,No
13,No
18,No
6,No
21,No
21,No
14,No
9,No
9,No
11,No
15,No
14,No
19,No
12,No
11,No
16,No
17,No
18,No
12,No
25,No
11,No
14,No
18,No
14,No
17,No
11,No
19,No
15,No
13,No
18,No
18,No
24,No
14,No
13,No
26,No
15,No
12,No
19,No
12,No
12,No
13,No
12,No
9,No
13,No
13,No
27,No
10,No
11,No
24,No
15,No
14,No
13,No
10,No
18,No
14,No
13,No
16,No
16,No
12,No
23,No
14,No
16,No
13,No
19,No
8,No
5,No
27,No
8,No
22,No
14,No
21,No
6,No
17,No
14,No
13,No
12,No
17,No
10,No
12,No
21,No
17,No
19,No
11,No
18,No
11,No
8,No
22,No
13,No
14,No
20,No
16,No
18,No
8,No
18,No
15,No
21,No
11,No
16,No
22,No
8,No
6,No
15,No
12,No
8,No
15,No
15,No
8,No
15,No
9,No
9,No
11,No
13,No
14,No
9,No
10,No
5,No
20,No
23,No
17,No
14,No
13,No
21,No
13,No
22,No
8,No
6,No
12,No
23,No
19,No
15,No
9,No
15,No
22,No
8,No
15,No
11,No
12,No
8,No
14,No
13,No
15,No
18,No
8,No
12,No
19,No
24,No
11,No
13,No
9,No
18,No
12,No
13,No
15,No
15,No
15,No
19,No
17,No
7,No
10,No
17,No
17,No
10,No
