@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod'

@attribute y numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
15,1.25,17,251,14.764706,0.882353,12,M,No
19,2.375,22,126,5.727273,0.863636,8,F,No
6,?,13,58,4.461538,0.461538,?,F,No
6,?,17,74,4.352941,0.352941,?,M,No
10,?,37,84,2.27027,0.27027,?,M,No
22,3.666667,42,342,8.142857,0.52381,6,M,No
15,0.714286,31,748,24.129032,0.483871,21,M,No
6,0.857143,13,107,8.230769,0.461538,7,M,No
8,8,15,1,0.066667,0.533333,1,M,No
20,2.5,43,486,11.302326,0.465116,8,M,No
8,?,23,100,4.347826,0.347826,?,F,No
21,1.4,22,438,19.909091,0.954545,15,F,No
7,?,12,19,1.583333,0.583333,?,M,No
25,2.272727,62,833,13.435484,0.403226,11,M,No
15,1.666667,30,255,8.5,0.5,9,F,No
20,3.333333,25,218,8.72,0.8,6,M,No
8,0.533333,91,1270,13.956044,0.087912,15,M,No
13,4.333333,17,65,3.823529,0.764706,3,M,No
17,2.428571,71,433,6.098592,0.239437,7,M,No
17,1.416667,55,956,17.381818,0.309091,12,F,No
21,1.4,47,814,17.319149,0.446809,15,F,No
11,?,23,34,1.478261,0.478261,?,F,No
16,1.777778,19,230,12.105263,0.842105,9,M,No
11,?,34,147,4.323529,0.323529,?,M,No
10,0.666667,24,282,11.75,0.416667,15,F,No
7,0.368421,18,451,25.055556,0.388889,19,M,No
24,1.6,32,537,16.78125,0.75,15,M,No
10,1.666667,32,144,4.5,0.3125,6,M,No
15,1.25,30,234,7.8,0.5,12,M,No
13,0.619048,34,841,24.735294,0.382353,21,M,No
10,0.416667,41,1515,36.95122,0.243902,24,F,No
17,1.545455,50,647,12.94,0.34,11,M,No
12,?,42,12,0.285714,0.285714,?,M,No
15,1.363636,33,521,15.787879,0.454545,11,M,No
12,0.666667,89,1624,18.247191,0.134831,18,M,No
11,0.34375,89,3472,39.011236,0.123596,32,M,No
14,?,32,142,4.4375,0.4375,?,M,No
9,1.125,20,170,8.5,0.45,8,M,No
15,0.833333,62,1523,24.564516,0.241935,18,M,No
7,0.411765,19,478,25.157895,0.368421,17,F,No
14,0.777778,58,1455,25.086207,0.241379,18,M,No
23,1.277778,57,1389,24.368421,0.403509,18,M,No
13,?,30,43,1.433333,0.433333,?,M,No
7,3.5,9,24,2.666667,0.777778,2,F,No
15,0.75,15,386,25.733333,1,20,F,No
15,0.75,15,377,25.133333,1,20,M,No
11,0.611111,37,507,13.702703,0.297297,18,F,No
11,2.2,25,35,1.4,0.44,5,F,No
24,2.4,28,278,9.928571,0.857143,10,F,No
23,2.875,69,585,8.478261,0.333333,8,M,No
22,1.692308,27,526,19.481481,0.814815,13,M,No
18,1.125,121,1566,12.942149,0.14876,16,F,No
11,1,33,236,7.151515,0.333333,11,F,No
18,2.571429,29,259,8.931034,0.62069,7,F,No
16,0.761905,25,612,24.48,0.64,21,M,No
6,0.375,15,277,18.466667,0.4,16,M,No
18,1.5,30,534,17.8,0.6,12,M,No
21,5.25,56,312,5.571429,0.375,4,M,No
11,0.6875,56,1153,20.589286,0.196429,16,M,No
13,0.8125,48,1192,24.833333,0.270833,16,M,No
18,1.125,63,1110,17.619048,0.285714,16,F,No
14,1.076923,16,223,13.9375,0.875,13,M,No
7,3.5,16,2,0.125,0.4375,2,M,No
15,0.75,20,484,24.2,0.75,20,F,No
24,0.857143,31,907,29.258065,0.774194,28,M,No
13,1.857143,55,470,8.545455,0.236364,7,M,No
24,3.428571,79,819,10.367089,0.303797,7,M,No
14,2,79,537,6.797468,0.177215,7,F,No
13,0.764706,15,290,19.333333,0.866667,17,F,No
23,2.3,52,774,14.884615,0.442308,10,M,No
15,?,28,15,0.535714,0.535714,?,M,No
12,1,43,857,19.930233,0.27907,12,M,No
13,1.083333,54,754,13.962963,0.240741,12,M,No
17,1.545455,44,427,9.704545,0.386364,11,F,No
10,0.714286,40,645,16.125,0.25,14,M,No
8,1,33,313,9.484848,0.242424,8,F,No
13,1,160,1896,11.85,0.08125,13,M,No
16,3.2,43,306,7.116279,0.372093,5,M,No
14,0.518519,53,1522,28.716981,0.264151,27,M,No
14,1.75,30,233,7.766667,0.466667,8,M,No
14,1.75,30,259,8.633333,0.466667,8,F,No
6,1.5,16,64,4,0.375,4,M,No
14,1.555556,49,488,9.959184,0.285714,9,M,No
15,1.666667,49,460,9.387755,0.306122,9,M,No
15,1.666667,49,586,11.959184,0.306122,9,F,No
22,3.666667,36,246,6.833333,0.611111,6,F,No
11,1.375,64,432,6.75,0.171875,8,M,No
9,?,16,41,2.5625,0.5625,?,M,No
26,2.166667,62,864,13.935484,0.419355,12,M,No
26,2.166667,48,448,9.333333,0.541667,12,F,No
10,1.111111,74,1053,14.22973,0.135135,9,F,No
14,1.555556,74,1176,15.891892,0.189189,9,M,No
14,3.5,15,45,3,0.933333,4,M,No
8,0.666667,76,962,12.657895,0.105263,12,M,No
15,?,32,175,5.46875,0.46875,?,F,No
6,0.375,37,813,21.972973,0.162162,16,F,No
13,2.166667,33,149,4.515152,0.393939,6,M,No
20,2.222222,31,274,8.83871,0.645161,9,M,No
19,1.583333,82,1105,13.47561,0.231707,12,M,No
15,0.789474,37,973,26.297297,0.405405,19,M,No
14,0.933333,75,1720,22.933333,0.186667,15,M,No
23,1.095238,35,964,27.542857,0.657143,21,M,No
16,3.2,17,113,6.647059,0.941176,5,M,No
25,1.923077,35,632,18.057143,0.714286,13,M,No
5,?,10,45,4.5,0.5,?,F,No
9,?,19,28,1.473684,0.473684,?,M,No
7,?,24,103,4.291667,0.291667,?,M,No
12,6,34,36,1.058824,0.352941,2,F,No
27,3,50,809,16.18,0.54,9,M,No
13,0.8125,15,245,16.333333,0.866667,16,M,No
23,2.3,43,766,17.813953,0.534884,10,M,No
20,2,47,668,14.212766,0.425532,10,M,No
14,2,30,195,6.5,0.466667,7,F,No
13,0.5,39,1070,27.435897,0.333333,26,M,No
12,?,16,12,0.75,0.75,?,F,No
15,0.882353,38,763,20.078947,0.394737,17,M,No
6,?,19,101,5.315789,0.315789,?,M,No
14,2,35,267,7.628571,0.4,7,F,No
19,1.266667,25,416,16.64,0.76,15,M,No
9,1,33,416,12.606061,0.272727,9,M,No
21,1.5,36,453,12.583333,0.583333,14,M,No
10,1.25,10,88,8.8,1,8,M,No
12,1.714286,23,122,5.304348,0.521739,7,M,No
17,0.53125,40,1813,45.325,0.425,32,F,No
14,0.5,60,1412,23.533333,0.233333,28,M,No
6,?,11,6,0.545455,0.545455,?,M,No
17,4.25,29,62,2.137931,0.586207,4,M,No
15,0.882353,17,225,13.235294,0.882353,17,M,No
14,?,30,164,5.466667,0.466667,?,M,No
7,?,15,82,5.466667,0.466667,?,M,No
10,?,29,155,5.344828,0.344828,?,F,No
17,0.85,39,1131,29,0.435897,20,F,No
14,1.166667,16,210,13.125,0.875,12,M,No
14,1.166667,16,229,14.3125,0.875,12,M,No
20,1.052632,45,1058,23.511111,0.444444,19,M,No
11,?,28,67,2.392857,0.392857,?,M,No
19,1,21,451,21.47619,0.904762,19,F,No
18,1,85,1859,21.870588,0.211765,18,F,No
17,4.25,54,301,5.574074,0.314815,4,M,No
7,?,53,166,3.132075,0.132075,?,F,No
9,?,40,169,4.225,0.225,?,M,No
14,0.608696,101,2960,29.306931,0.138614,23,M,No
16,2.285714,69,598,8.666667,0.231884,7,M,No
16,0.941176,31,538,17.354839,0.516129,17,M,No
20,0.952381,86,1745,20.290698,0.232558,21,M,No
14,0.636364,38,1163,30.605263,0.368421,22,M,No
19,1.055556,21,469,22.333333,0.904762,18,F,No
15,?,21,36,1.714286,0.714286,?,F,No
20,3.333333,29,160,5.517241,0.689655,6,M,No
13,1.083333,44,638,14.5,0.295455,12,M,No
20,1.052632,107,1922,17.962617,0.186916,19,F,No
10,0.526316,107,1815,16.962617,0.093458,19,M,No
8,0.421053,107,2671,24.962617,0.074766,19,M,No
13,0.448276,15,600,40,0.866667,29,M,No
19,1,36,1169,32.472222,0.527778,19,M,No
10,1.111111,10,132,13.2,1,9,M,No
15,1.875,30,274,9.133333,0.5,8,F,No
15,2.5,42,300,7.142857,0.357143,6,M,No
20,2.222222,40,462,11.55,0.5,9,F,No
14,?,35,154,4.4,0.4,?,M,No
20,1.333333,30,555,18.5,0.666667,15,F,No
13,1.444444,39,355,9.102564,0.333333,9,M,No
14,1.166667,66,853,12.924242,0.212121,12,F,No
20,1.428571,21,240,11.428571,0.952381,14,M,No
18,0.75,22,648,29.454545,0.818182,24,F,No
14,1.166667,60,402,6.7,0.233333,12,F,No
16,0.842105,29,609,21,0.551724,19,M,No
16,3.2,28,206,7.357143,0.571429,5,M,No
13,?,29,42,1.448276,0.448276,?,F,No
18,1.5,50,841,16.82,0.36,12,F,No
15,1.875,22,120,5.454545,0.681818,8,F,No
16,1.454545,53,801,15.113208,0.301887,11,F,No
14,1.4,24,394,16.416667,0.583333,10,F,No
6,?,12,54,4.5,0.5,?,M,No
7,?,14,7,0.5,0.5,?,M,No
17,0.894737,34,672,19.764706,0.5,19,F,No
7,?,13,20,1.538462,0.538462,?,M,No
13,0.619048,46,991,21.543478,0.282609,21,M,No
19,0.791667,24,695,28.958333,0.791667,24,F,No
8,0.533333,10,177,17.7,0.8,15,M,No
27,3.857143,96,637,6.635417,0.28125,7,F,No
18,0.818182,146,4634,31.739726,0.123288,22,F,No
17,1.214286,19,389,20.473684,0.894737,14,F,No
19,1.9,29,398,13.724138,0.655172,10,M,No
11,1.833333,11,79,7.181818,1,6,M,No
12,2,17,161,9.470588,0.705882,6,M,No
19,1.357143,19,350,18.421053,1,14,F,No
10,1.111111,16,145,9.0625,0.625,9,M,No
13,2.6,13,49,3.769231,1,5,F,No
12,1.2,41,571,13.926829,0.292683,10,F,No
11,1.222222,11,149,13.545455,1,9,M,No
13,0.928571,16,351,21.9375,0.8125,14,M,No
16,0.761905,21,500,23.809524,0.761905,21,M,No
17,1.307692,20,357,17.85,0.85,13,F,No
15,2.5,19,116,6.105263,0.789474,6,F,No
14,0.5,25,861,34.44,0.56,28,M,No
24,1.714286,63,1247,19.793651,0.380952,14,M,No
18,0.9,25,408,16.32,0.72,20,M,No
15,1.071429,17,254,14.941176,0.882353,14,M,No
25,2.083333,31,621,20.032258,0.806452,12,M,No
15,2.5,38,335,8.815789,0.394737,6,M,No
19,1.055556,23,363,15.782609,0.826087,18,F,No
10,?,40,50,1.25,0.25,?,F,No
12,?,32,44,1.375,0.375,?,F,No
18,2.25,54,359,6.648148,0.333333,8,F,No
18,1.285714,39,646,16.564103,0.461538,14,F,No
20,1.333333,43,960,22.325581,0.465116,15,M,No
13,1.444444,13,196,15.076923,1,9,M,No
7,?,30,127,4.233333,0.233333,?,M,No
18,2.571429,24,92,3.833333,0.75,7,M,No
6,3,29,60,2.068966,0.206897,2,M,No
13,0.928571,15,357,23.8,0.866667,14,F,No
10,3.333333,24,43,1.791667,0.416667,3,M,No
15,0.833333,21,392,18.666667,0.714286,18,M,No
17,1,80,1400,17.5,0.2125,17,F,No
17,0.62963,23,589,25.608696,0.73913,27,F,No
17,2.428571,41,299,7.292683,0.414634,7,M,No
12,?,47,200,4.255319,0.255319,?,M,No
14,?,26,118,4.538462,0.538462,?,F,No
22,2.444444,192,1416,7.375,0.114583,9,M,No
14,?,32,174,5.4375,0.4375,?,M,No
