@relation temp_weka-weka.filters.unsupervised.attribute.Remove-R2-8

@attribute h numeric
@attribute Abilitato {No,Si}

@data
9,Si
5,Si
5,Si
8,Si
4,Si
5,Si
8,Si
2,Si
4,Si
2,Si
1,Si
5,Si
7,Si
20,Si
6,Si
5,Si
2,Si
1,Si
6,Si
4,Si
2,Si
8,Si
18,Si
21,Si
18,Si
3,Si
2,Si
5,Si
1,Si
2,Si
1,Si
17,Si
1,Si
1,Si
21,Si
10,Si
2,Si
4,Si
7,Si
1,Si
4,Si
3,Si
3,Si
14,Si
13,Si
4,Si
2,Si
9,Si
2,Si
15,Si
1,Si
8,Si
2,Si
14,Si
9,Si
3,Si
5,Si
3,Si
4,Si
1,Si
1,Si
13,Si
4,Si
1,Si
9,Si
5,Si
6,Si
8,Si
5,Si
5,Si
1,Si
10,Si
1,Si
4,Si
3,Si
5,Si
5,Si
5,Si
6,Si
3,Si
17,Si
2,Si
3,Si
19,Si
17,Si
12,Si
22,Si
5,Si
9,Si
1,Si
4,Si
13,Si
1,Si
1,Si
5,Si
13,Si
10,Si
4,Si
7,Si
2,Si
5,Si
3,Si
1,Si
5,Si
1,Si
6,Si
1,Si
4,Si
19,Si
1,Si
14,Si
3,Si
21,Si
4,Si
1,Si
1,Si
5,Si
1,Si
8,Si
16,Si
12,Si
6,Si
4,Si
16,Si
5,Si
3,Si
10,Si
8,Si
4,Si
8,Si
6,Si
4,Si
21,Si
14,Si
12,Si
1,Si
4,Si
1,Si
20,Si
5,Si
3,Si
2,Si
2,Si
13,Si
8,Si
4,No
23,No
6,No
6,No
9,No
5,No
5,No
4,No
12,No
9,No
1,No
11,No
8,No
6,No
17,No
6,No
15,No
11,No
14,No
12,No
12,No
2,No
8,No
11,No
10,No
7,No
1,No
5,No
13,No
3,No
8,No
5,No
16,No
15,No
5,No
15,No
12,No
12,No
10,No
2,No
13,No
1,No
6,No
2,No
17,No
12,No
7,No
12,No
16,No
6,No
14,No
12,No
10,No
12,No
4,No
6,No
8,No
12,No
9,No
4,No
8,No
6,No
6,No
13,No
9,No
14,No
10,No
7,No
10,No
11,No
4,No
15,No
10,No
2,No
5,No
5,No
4,No
19,No
5,No
10,No
2,No
13,No
5,No
22,No
9,No
18,No
13,No
5,No
5,No
9,No
7,No
17,No
8,No
5,No
9,No
18,No
7,No
4,No
15,No
12,No
7,No
5,No
16,No
16,No
7,No
9,No
6,No
15,No
7,No
4,No
13,No
10,No
9,No
14,No
4,No
3,No
11,No
62,No
9,No
9,No
15,No
6,No
7,No
5,No
11,No
5,No
10,No
7,No
8,No
8,No
23,No
5,No
7,No
6,No
4,No
1,No
10,No
14,No
1,No
14,No
4,No
3,No
11,No
2,No
7,No
13,No
13,No
4,No
12,No
2,No
17,No
20,No
15,No
10,No
6,No
8,No
7,No
10,No
8,No
10,No
15,No
10,Si
2,Si
16,Si
3,Si
9,Si
10,Si
6,Si
10,Si
6,Si
3,Si
1,Si
1,Si
1,Si
1,Si
6,Si
13,Si
1,Si
2,Si
8,Si
7,Si
17,Si
20,Si
2,Si
3,Si
5,Si
1,Si
5,Si
4,Si
1,Si
2,Si
5,Si
17,Si
15,Si
31,Si
3,Si
6,Si
13,Si
6,Si
24,Si
9,Si
12,Si
15,Si
24,Si
6,Si
23,Si
10,Si
9,Si
7,Si
10,Si
5,Si
6,Si
11,Si
9,Si
24,Si
8,Si
15,Si
16,Si
6,Si
7,Si
10,Si
14,Si
9,Si
7,Si
20,Si
7,Si
4,Si
5,Si
8,Si
17,Si
17,Si
6,Si
6,Si
4,Si
18,Si
21,Si
6,Si
7,Si
9,Si
12,No
17,No
13,No
28,No
5,No
11,No
16,No
4,No
11,No
17,No
18,No
15,No
12,No
19,No
13,No
6,No
3,No
8,No
9,No
13,No
4,No
31,No
13,No
4,No
8,No
7,No
13,No
6,No
8,No
9,No
15,No
9,No
6,No
12,No
12,No
7,No
10,No
15,No
14,No
3,No
15,No
17,No
6,No
9,No
6,No
3,No
20,No
19,No
17,No
8,No
10,No
9,No
12,No
10,No
6,No
5,No
18,No
4,No
17,No
9,No
6,No
17,No
17,No
7,No
5,No
12,No
11,No
9,No
12,No
18,No
7,No
11,No
13,No
33,No
14,No
13,No
16,No
13,No
15,No
5,Si
13,Si
9,Si
7,Si
13,Si
