@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
9,1.125,46,617,13.413043,0.195652,8,M,Si
5,0.357143,13,180,13.846154,0.384615,14,F,Si
5,0.5,24,334,13.916667,0.208333,10,M,Si
8,0.888889,19,258,13.578947,0.421053,9,F,Si
4,1,7,16,2.285714,0.571429,4,M,Si
5,0.625,23,301,13.086957,0.217391,8,M,Si
8,1.6,21,164,7.809524,0.380952,5,M,Si
2,0.5,13,43,3.307692,0.153846,4,F,Si
4,0.333333,23,372,16.173913,0.173913,12,F,Si
2,0.181818,12,181,15.083333,0.166667,11,M,Si
1,0.125,12,60,5,0.083333,8,M,Si
5,0.714286,21,145,6.904762,0.238095,7,M,Si
7,0.583333,55,589,10.709091,0.127273,12,M,Si
20,0.740741,33,918,27.818182,0.606061,27,F,Si
6,0.375,36,637,17.694444,0.166667,16,F,Si
5,0.625,15,90,6,0.333333,8,M,Si
2,0.333333,12,88,7.333333,0.166667,6,F,Si
1,0.2,13,98,7.538462,0.076923,5,M,Si
6,0.6,31,270,8.709677,0.193548,10,F,Si
4,0.363636,15,249,16.6,0.266667,11,M,Si
2,0.222222,8,51,6.375,0.25,9,M,Si
8,2.666667,17,54,3.176471,0.470588,3,F,Si
18,1.636364,37,327,8.837838,0.486486,11,F,Si
21,0.75,58,1948,33.586207,0.362069,28,M,Si
18,2.571429,33,275,8.333333,0.545455,7,M,Si
3,0.272727,14,243,17.357143,0.214286,11,F,Si
2,0.166667,14,252,18,0.142857,12,M,Si
5,?,10,5,0.5,0.5,?,F,Si
1,0.25,10,59,5.9,0.1,4,M,Si
2,0.2,25,140,5.6,0.08,10,M,Si
1,0.076923,47,515,10.957447,0.021277,13,M,Si
17,1.888889,29,241,8.310345,0.586207,9,M,Si
1,0.166667,11,44,4,0.090909,6,M,Si
1,0.125,61,579,9.491803,0.016393,8,M,Si
21,2.333333,44,429,9.75,0.477273,9,M,Si
10,0.714286,28,444,15.857143,0.357143,14,M,Si
2,0.2,25,330,13.2,0.08,10,F,Si
4,0.444444,17,156,9.176471,0.235294,9,M,Si
7,0.875,12,105,8.75,0.583333,8,M,Si
1,0.142857,28,191,6.821429,0.035714,7,M,Si
4,0.307692,14,156,11.142857,0.285714,13,M,Si
3,0.333333,20,195,9.75,0.15,9,M,Si
3,?,38,193,5.078947,0.078947,?,M,Si
14,1.166667,42,645,15.357143,0.333333,12,M,Si
13,1.3,30,322,10.733333,0.433333,10,M,Si
4,0.307692,14,256,18.285714,0.285714,13,F,Si
2,0.333333,15,131,8.733333,0.133333,6,M,Si
9,1.285714,30,144,4.8,0.3,7,M,Si
2,0.153846,11,169,15.363636,0.181818,13,M,Si
15,1.153846,30,476,15.866667,0.5,13,F,Si
1,0.5,5,7,1.4,0.2,2,F,Si
8,0.888889,33,342,10.363636,0.242424,9,M,Si
