@relation temp_weka-weka.filters.unsupervised.attribute.Remove-R2-8

@attribute h numeric
@attribute Abilitato {No,Si}

@data
11,No
3,No
6,No
4,No
6,No
11,No
11,No
8,No
19,No
8,No
2,No
5,No
5,No
6,No
7,No
5,No
1,No
5,No
13,No
5,No
4,No
4,No
10,No
12,No
16,No
4,No
8,No
9,No
10,No
11,No
13,No
9,No
12,No
3,No
9,No
15,No
6,No
2,No
3,No
14,No
11,No
11,No
13,No
14,No
9,No
10,No
10,No
9,No
10,No
10,No
8,No
18,No
6,No
15,No
10,No
14,No
5,No
17,No
13,No
13,No
13,No
6,No
9,No
8,No
13,No
16,No
12,No
11,No
11,No
16,No
5,No
10,No
15,No
5,No
8,No
13,No
3,No
1,No
10,No
4,No
16,No
8,No
8,No
4,No
5,No
14,No
7,No
12,No
10,No
3,No
12,No
3,No
12,No
11,No
6,No
8,No
8,No
1,No
13,No
7,No
26,No
9,No
8,No
9,No
4,No
6,No
5,No
5,No
12,No
9,No
8,No
5,No
18,No
14,No
2,No
4,No
6,No
6,No
8,No
14,No
12,No
11,No
13,No
12,No
11,No
2,No
14,No
8,No
13,No
6,No
6,No
6,No
5,No
9,No
8,No
8,No
12,No
15,No
1,No
5,No
28,No
9,No
11,No
7,No
11,No
4,No
4,No
9,No
11,No
6,No
13,No
7,No
8,No
8,No
8,No
6,No
6,No
13,No
7,No
6,No
12,No
5,No
15,No
14,No
1,No
13,No
9,No
6,No
11,No
12,No
16,No
16,No
16,No
5,No
5,No
5,No
5,No
5,No
5,No
11,No
6,No
8,No
6,No
9,No
6,No
7,No
7,No
12,No
8,No
31,No
9,No
7,No
8,No
13,No
7,No
13,No
16,No
7,No
6,No
19,No
18,No
3,No
12,No
10,No
7,No
6,No
17,No
6,No
10,No
5,No
15,No
5,No
8,No
7,No
8,No
9,No
4,No
9,No
12,No
3,No
13,No
5,No
5,No
5,No
12,No
13,No
16,No
19,No
19,No
7,No
7,No
6,No
5,No
5,No
5,No
2,No
7,No
11,No
10,No
4,No
11,No
12,No
10,No
17,No
17,No
11,No
7,No
12,No
6,No
15,No
15,No
7,No
6,No
7,No
6,No
9,No
8,No
7,No
10,No
17,No
9,No
18,No
11,No
15,No
15,No
14,No
16,No
5,No
5,No
9,No
10,No
2,No
14,No
12,No
14,No
4,No
12,No
12,No
4,No
25,No
10,No
13,No
6,No
6,No
6,No
5,No
5,No
4,No
12,No
15,No
4,No
7,No
5,No
3,No
16,No
13,No
4,No
11,No
6,No
10,No
5,No
12,No
9,No
8,No
15,No
10,No
4,No
2,No
10,No
1,No
10,No
6,No
10,No
7,No
5,No
7,No
8,No
12,No
1,No
9,No
7,No
8,No
8,No
15,No
15,No
10,No
9,No
6,No
15,No
22,No
22,No
21,No
7,No
7,No
6,No
7,No
33,No
9,No
4,No
8,No
13,No
18,No
2,No
7,No
5,No
6,No
31,No
14,No
17,No
14,No
11,No
6,No
8,No
9,No
7,No
8,No
7,No
10,No
14,No
10,No
9,No
9,No
9,No
18,No
18,No
18,No
6,No
4,No
5,No
19,No
8,No
12,No
6,No
6,No
6,No
6,No
6,No
14,No
8,No
6,No
23,No
6,No
11,No
5,No
5,No
7,No
5,No
5,No
6,No
14,No
6,No
10,No
9,No
11,No
2,No
6,No
6,No
6,No
14,No
14,No
12,No
12,No
12,No
9,No
8,No
5,No
7,No
5,No
5,No
3,No
19,No
22,No
11,No
8,No
17,No
7,No
5,No
5,No
5,No
13,No
7,No
5,No
13,No
17,No
3,No
7,No
9,No
7,No
7,No
2,No
5,No
10,No
12,No
1,No
2,No
9,No
4,No
6,No
6,No
5,No
14,No
18,No
12,No
12,No
8,No
13,No
15,No
9,No
9,No
18,No
7,No
19,No
11,No
11,No
10,No
12,No
8,No
5,No
17,No
17,No
1,No
2,No
11,No
11,No
8,No
5,No
3,No
8,No
8,No
2,No
3,No
9,No
9,No
7,No
14,No
7,No
20,No
2,No
15,No
8,No
16,No
4,No
15,No
5,No
9,No
10,No
10,No
9,No
7,No
14,No
10,No
10,No
7,No
12,No
3,No
5,No
15,No
15,No
5,No
5,No
11,No
14,No
3,No
9,No
6,No
6,No
8,No
8,No
2,No
16,No
12,No
3,No
13,No
7,No
6,No
19,No
1,No
12,No
9,No
10,No
9,No
3,No
14,No
1,No
6,No
6,No
14,No
8,No
13,No
8,No
9,No
2,No
9,No
20,No
1,No
15,No
4,No
6,No
14,No
10,No
15,No
4,No
16,No
15,No
12,No
12,No
9,No
7,No
6,No
6,No
8,No
14,No
13,No
14,No
14,No
15,No
15,No
11,No
2,No
10,No
11,No
8,No
9,No
13,No
4,No
8,No
8,No
14,No
19,No
6,No
11,No
18,No
12,No
13,No
1,No
2,No
2,No
6,No
6,No
2,No
9,No
15,No
2,No
10,No
1,No
4,No
2,No
12,No
1,No
7,No
9,No
10,No
7,No
34,No
10,No
6,No
15,No
8,No
17,No
16,No
16,No
7,No
5,No
5,No
12,No
11,No
10,No
10,No
9,No
16,No
13,No
13,No
10,No
17,No
1,No
11,No
12,No
1,No
2,No
4,No
13,No
5,No
6,No
13,No
5,No
5,No
7,No
10,No
6,No
9,No
14,No
33,No
5,No
5,No
23,No
7,No
6,No
6,No
4,No
16,No
4,No
10,No
5,No
13,No
18,No
7,No
12,No
13,No
15,No
1,No
7,No
3,No
4,No
2,No
1,No
18,No
7,No
5,No
13,No
12,No
6,No
5,No
6,No
6,No
5,No
5,No
13,No
10,No
14,No
4,No
10,No
17,No
14,No
17,No
2,No
9,No
3,No
13,No
15,No
7,No
5,No
15,No
5,No
5,No
5,No
4,No
7,No
7,No
7,No
3,No
3,No
11,No
4,No
