@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
11,1.222222,15,192,12.8,0.733333,9,M,No
3,0.333333,5,29,5.8,0.6,9,F,No
6,0.666667,35,436,12.457143,0.171429,9,M,No
4,0.444444,5,90,18,0.8,9,F,No
6,?,28,62,2.214286,0.214286,?,F,No
11,0.647059,37,804,21.72973,0.297297,17,F,No
11,0.647059,37,687,18.567568,0.297297,17,M,No
8,0.470588,27,636,23.555556,0.296296,17,M,No
19,1.1875,27,495,18.333333,0.703704,16,F,No
8,1.333333,18,168,9.333333,0.444444,6,M,No
2,0.285714,10,81,8.1,0.2,7,M,No
5,0.714286,18,169,9.388889,0.277778,7,M,No
5,0.714286,7,37,5.285714,0.714286,7,M,No
6,?,40,6,0.15,0.15,?,F,No
7,?,24,127,5.291667,0.291667,?,M,No
5,?,20,5,0.25,0.25,?,F,No
1,?,4,21,5.25,0.25,?,F,No
5,0.416667,13,208,16,0.384615,12,F,No
13,2.6,13,36,2.769231,1,5,M,No
5,0.625,11,78,7.090909,0.454545,8,F,No
4,0.5,13,172,13.230769,0.307692,8,M,No
4,0.285714,32,546,17.0625,0.125,14,M,No
10,2,16,65,4.0625,0.625,5,F,No
12,2.4,17,164,9.647059,0.705882,5,F,No
16,3.2,17,49,2.882353,0.941176,5,M,No
4,0.25,79,1418,17.949367,0.050633,16,M,No
8,0.888889,20,269,13.45,0.4,9,M,No
9,1,51,394,7.72549,0.176471,9,F,No
10,0.909091,23,236,10.26087,0.434783,11,F,No
11,1,24,279,11.625,0.458333,11,M,No
13,?,25,113,4.52,0.52,?,F,No
9,?,39,87,2.230769,0.230769,?,F,No
12,?,15,72,4.8,0.8,?,M,No
3,?,12,63,5.25,0.25,?,F,No
9,0.818182,20,338,16.9,0.45,11,F,No
15,2.142857,17,152,8.941176,0.882353,7,M,No
6,0.352941,40,1219,30.475,0.15,17,M,No
2,?,25,52,2.08,0.08,?,M,No
3,?,36,111,3.083333,0.083333,?,F,No
14,14,24,1,0.041667,0.583333,1,M,No
11,11,28,1,0.035714,0.392857,1,M,No
11,11,17,1,0.058824,0.647059,1,M,No
13,2.166667,18,66,3.666667,0.722222,6,M,No
14,0.736842,39,856,21.948718,0.358974,19,F,No
9,1.285714,29,301,10.37931,0.310345,7,M,No
10,1.666667,20,126,6.3,0.5,6,F,No
10,1.666667,20,82,4.1,0.5,6,M,No
9,1.5,19,78,4.105263,0.473684,6,M,No
10,1.666667,20,142,7.1,0.5,6,M,No
10,1.666667,20,166,8.3,0.5,6,M,No
8,?,34,8,0.235294,0.235294,?,F,No
18,2.571429,23,135,5.869565,0.782609,7,M,No
6,0.285714,23,672,29.217391,0.26087,21,M,No
15,3,44,277,6.295455,0.340909,5,M,No
10,2,11,40,3.636364,0.909091,5,M,No
14,2,36,372,10.333333,0.388889,7,M,No
5,0.714286,9,68,7.555556,0.555556,7,M,No
17,2.125,31,263,8.483871,0.548387,8,M,No
13,1.444444,30,345,11.5,0.433333,9,M,No
13,1.444444,30,349,11.633333,0.433333,9,F,No
13,1.444444,30,392,13.066667,0.433333,9,M,No
6,0.75,39,290,7.435897,0.153846,8,F,No
9,1.125,19,224,11.789474,0.473684,8,F,No
