@relation 05E2_svm_final_sameOrder-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute born_Y numeric
@attribute professional_level {Assistant}
@attribute Full numeric
@attribute Associate numeric
@attribute Assistant numeric
@attribute Rank_n numeric
@attribute Rank_prom numeric
@attribute Rank_chang numeric
@attribute Rank_prom_int numeric
@attribute Rank_prom_ext numeric
@attribute Rank_prom_int_sam_dep numeric
@attribute Rank_prom_int_dif_dep numeric
@attribute Faculty_n {'Nessuna afferenza','Scienze Matematiche Fisiche e Naturali','Classe di Scienze Sperimentali','Medicina e Chirurgia','Farmacia e Medicina ( )'}
@attribute Faculty_clean_new {Scienze,'Medicina e Chirurgia','Farmacia  Biotecnologie e Scienze motorie'}
@attribute NUTS_Region {ITC48,ITF31,ITE1,ITH31,ITC4C,ITI17,ITI45,ITI44}
@attribute stem numeric
@attribute TTO {Yes,No}
@attribute Year_Foundation numeric
@attribute University_Hospital {Yes,No}
@attribute Education_General {No}
@attribute Education_Education {No,Yes}
@attribute Education_Humanities_Arts {Yes,No}
@attribute Education_Social_Science {Yes}
@attribute Education_Sciences {Yes,No}
@attribute Education_Engineering {Yes,No}
@attribute Education_Agriculture {No,Yes}
@attribute Education_Health {Yes}
@attribute Education_Services {Yes,No}
@attribute Size_All_Fac_NonFac numeric
@attribute Size_Grad_Students numeric
@attribute Rank_Quart1_National numeric
@attribute Rank_Quart2_National numeric
@attribute Rank_Quart3_National numeric
@attribute Rank_Quart4_National numeric
@attribute AwardVal_Pub_all numeric
@attribute AwardVal_Proj_all numeric
@attribute AwardVal_Pub_all_real numeric
@attribute AwardVal_Proj_all_real numeric
@attribute University_2012 {pavia,napoli_sec,firenz,veron,mila_bic,pisa_sant,roma_tor,roma_sap,milan}
@attribute Acad_Entrepreneur numeric
@attribute acc_ita_2012 numeric
@attribute acc_ita_left numeric
@attribute Y_affiliation_same numeric
@attribute Proj_PI_int_started_2012 numeric
@attribute Proj_PI_nat_started_2012 numeric
@attribute Proj_member_int_started_2012 numeric
@attribute Proj_member_nat_started_2012 numeric
@attribute Proj_PI_int_active_2012 numeric
@attribute Proj_PI_nat_active_2012 numeric
@attribute Proj_member_int_active_2012 numeric
@attribute Proj_member_nat_active_2012 numeric
@attribute Proj_PI_int_started_Y2 numeric
@attribute Proj_PI_nat_started_Y2 numeric
@attribute Proj_member_int_started_Y2 numeric
@attribute Proj_member_nat_started_Y2 numeric
@attribute Proj_PI_int_active_Y2 numeric
@attribute Proj_PI_nat_active_Y2 numeric
@attribute Proj_member_int_active_Y2 numeric
@attribute Proj_member_nat_active_Y2 numeric
@attribute Proj_PI_int_started_Y5 numeric
@attribute Proj_PI_nat_started_Y5 numeric
@attribute Proj_member_int_started_Y5 numeric
@attribute Proj_member_nat_started_Y5 numeric
@attribute Proj_PI_int_active_Y5 numeric
@attribute Proj_PI_nat_active_Y5 numeric
@attribute Proj_member_int_active_Y5 numeric
@attribute Proj_member_nat_active_Y5 numeric
@attribute Proj_PI_int_started_Y12 numeric
@attribute Proj_PI_nat_started_Y12 numeric
@attribute Proj_member_int_started_Y12 numeric
@attribute Proj_member_nat_started_Y12 numeric
@attribute Proj_PI_int_active_Y12 numeric
@attribute Proj_PI_nat_active_Y12 numeric
@attribute Proj_member_int_active_Y12 numeric
@attribute Proj_member_nat_active_Y12 numeric
@attribute Proj_PI_int_started_ALL numeric
@attribute Proj_PI_nat_started_ALL numeric
@attribute Proj_member_int_started_ALL numeric
@attribute Proj_member_nat_started_ALL numeric
@attribute Proj_PI_int_active_ALL numeric
@attribute Proj_PI_nat_active_ALL numeric
@attribute Proj_member_int_active_ALL numeric
@attribute Proj_member_nat_active_ALL numeric
@attribute Proj_PI_int_started_variance numeric
@attribute Proj_PI_nat_started_variance numeric
@attribute Proj_member_int_started_variance numeric
@attribute Proj_member_nat_started_variance numeric
@attribute Proj_PI_int_active_variance numeric
@attribute Proj_PI_nat_active_variance numeric
@attribute Proj_member_int_active_variance numeric
@attribute Proj_member_nat_active_variance numeric
@attribute Proj_PI_int_started_variance_Y5 numeric
@attribute Proj_PI_nat_started_variance_Y5 numeric
@attribute Proj_member_int_started_variance_Y5 numeric
@attribute Proj_member_nat_started_variance_Y5 numeric
@attribute Proj_PI_int_active_variance_Y5 numeric
@attribute Proj_PI_nat_active_variance_Y5 numeric
@attribute Proj_member_int_active_variance_Y5 numeric
@attribute Proj_member_nat_active_variance_Y5 numeric
@attribute Y_no_Proj_PI_int_started numeric
@attribute Y_no_Proj_PI_nat_started numeric
@attribute Y_no_Proj_member_int_started numeric
@attribute Y_no_Proj_member_nat_started numeric
@attribute Y_no_Proj_PI_int_active numeric
@attribute Y_no_Proj_PI_nat_active numeric
@attribute Y_no_Proj_member_int_active numeric
@attribute Y_no_Proj_member_nat_active numeric
@attribute book_ALL numeric
@attribute bookabstract_ALL numeric
@attribute bookchapter_ALL numeric
@attribute conference_abstract_ALL numeric
@attribute conference_paper_ALL numeric
@attribute encyclopedic_ALL numeric
@attribute ip_desing_SW_ALL numeric
@attribute ip_patent_ALL numeric
@attribute journal_abstract_ALL numeric
@attribute journal_paper_ALL numeric
@attribute others_ALL numeric
@attribute t_pub_if_ALL numeric
@attribute IF numeric
@attribute book_Y2 numeric
@attribute bookabstract_Y2 numeric
@attribute bookchapter_Y2 numeric
@attribute conference_abstract_Y2 numeric
@attribute conference_paper_Y2 numeric
@attribute encyclopedic_Y2 numeric
@attribute ip_desing_SW_Y2 numeric
@attribute ip_patent_Y2 numeric
@attribute journal_abstract_Y2 numeric
@attribute journal_Y2 numeric
@attribute others_Y2 numeric
@attribute pub_IF_Y2 numeric
@attribute IF_Y2 numeric
@attribute book_Y5 numeric
@attribute bookabstract_Y5 numeric
@attribute bookchapter_Y5 numeric
@attribute conference_abstract_Y5 numeric
@attribute conference_paper_Y5 numeric
@attribute encyclopedic_Y5 numeric
@attribute ip_desing_SW_Y5 numeric
@attribute ip_patent_Y5 numeric
@attribute journal_abstract_Y5 numeric
@attribute journal_Y5 numeric
@attribute others_Y5 numeric
@attribute pub_IF_Y5 numeric
@attribute IF_Y5 numeric
@attribute book_Y12 numeric
@attribute bookabstract_Y12 numeric
@attribute bookchapter_Y12 numeric
@attribute conference_abstract_Y12 numeric
@attribute conference_paper_Y12 numeric
@attribute encyclopedic_Y12 numeric
@attribute ip_desing_SW_Y12 numeric
@attribute ip_patent_Y12 numeric
@attribute journal_abstract_Y12 numeric
@attribute journal_Y12 numeric
@attribute others_Y12 numeric
@attribute pub_IF_Y12 numeric
@attribute IF_Y12 numeric
@attribute book numeric
@attribute bookabstract numeric
@attribute bookchapter numeric
@attribute conference_abstract numeric
@attribute conference_paper numeric
@attribute encyclopedic_entry numeric
@attribute ip_desing_SW numeric
@attribute ip_patent numeric
@attribute journal_abstract numeric
@attribute journal numeric
@attribute others numeric
@attribute pub_IF_ALL numeric
@attribute IF_ALL numeric
@attribute book_variance numeric
@attribute bookabstract_variance numeric
@attribute bookchapter_variance numeric
@attribute conference_abstract_variance numeric
@attribute conference_paper_variance numeric
@attribute encyclopedic_variance numeric
@attribute ip_desing_SW_variance numeric
@attribute ip_patent_variance numeric
@attribute journal_abstract_variance numeric
@attribute journal_variance numeric
@attribute others_variance numeric
@attribute if_variance numeric
@attribute book_variance_Y5 numeric
@attribute bookabstract_variance_Y5 numeric
@attribute bookchapter_variance_Y5 numeric
@attribute conference_abstract_variance_Y5 numeric
@attribute conference_paper_variance_Y5 numeric
@attribute encyclopedic_entry_variance_Y5 numeric
@attribute ip_desing_SW_variance_Y5 numeric
@attribute ip_patent_variance_Y5 numeric
@attribute journal_abstract_variance_Y5 numeric
@attribute journal_variance_Y5 numeric
@attribute others_variance_Y5 numeric
@attribute if_variance_Y5 numeric
@attribute academic_age numeric
@attribute academic_age_first_jour numeric
@attribute academic_age_since_if numeric
@attribute publication_with_category numeric
@attribute publication_with_category_dif numeric
@attribute journal_with_category numeric
@attribute journal_with_category_diff numeric
@attribute years_no_pub_journal numeric
@attribute years_no_pub numeric
@attribute editorial_journal_T numeric
@attribute membership_journal_T numeric
@attribute editorial_book_T numeric
@attribute membership_book_T numeric
@attribute editorial_journal_active numeric
@attribute membership_journal_active numeric
@attribute editorial_book_active numeric
@attribute membership_book_active numeric
@attribute editorial_journal_Y2 numeric
@attribute membership_journal_Y2 numeric
@attribute editorial_book_Y2 numeric
@attribute membership_book_Y2 numeric
@attribute editorial_journal_active_Y2 numeric
@attribute membership_journal_active_Y2 numeric
@attribute editorial_book_active_Y2 numeric
@attribute membership_book_active_Y2 numeric
@attribute editorial_journal_Y5 numeric
@attribute membership_journal_Y5 numeric
@attribute editorial_book_Y5 numeric
@attribute membership_book_Y5 numeric
@attribute editorial_journal_active_Y5 numeric
@attribute membership_journal_active_Y5 numeric
@attribute editorial_book_active_Y5 numeric
@attribute membership_book_active_Y5 numeric
@attribute editorial_journal_Y12 numeric
@attribute membership_journal_Y12 numeric
@attribute editorial_book_Y12 numeric
@attribute membership_book_Y12 numeric
@attribute editorial_journal_active_Y12 numeric
@attribute membership_journal_active_Y12 numeric
@attribute editorial_book_active_Y12 numeric
@attribute membership_book_active_Y12 numeric
@attribute editorial_journal_ALL numeric
@attribute membership_journal_ALL numeric
@attribute editorial_book_ALL numeric
@attribute membership_book_ALL numeric
@attribute editorial_journal_active_ALL numeric
@attribute membership_journal_active_ALL numeric
@attribute editorial_book_active_ALL numeric
@attribute membership_book_active_ALL numeric
@attribute editorial_journal_variance numeric
@attribute membership_journal_variance numeric
@attribute editorial_book_variance numeric
@attribute membership_book_variance numeric
@attribute editorial_journal_active_variance numeric
@attribute membership_journal_active_variance numeric
@attribute editorial_book_active_variance numeric
@attribute membership_book_active_variance numeric
@attribute editorial_journal_variance_Y5 numeric
@attribute membership_journal__variance_Y5 numeric
@attribute editorial_book_variance_Y5 numeric
@attribute membership_book_variance_Y5 numeric
@attribute editorial_journal_active_variance_Y5 numeric
@attribute membership_journal_active_variance_Y5 numeric
@attribute editorial_book_active_variance_Y5 numeric
@attribute membership_book_active_variance_Y5 numeric
@attribute Fellow_teach_started_2012 numeric
@attribute Fellow_research_started_2012 numeric
@attribute Fellow_teach_started_Y2 numeric
@attribute Fellow_research_started_Y2 numeric
@attribute Fellow_teach_started_Y5 numeric
@attribute Fellow_research_started_Y5 numeric
@attribute Fellow_teach_started_Y12 numeric
@attribute Fellow_research_started_Y12 numeric
@attribute Fellow_teach_started_ALL numeric
@attribute Fellow_research_started_ALL numeric
@attribute Fellow_teach_started_variance numeric
@attribute Fellow_research_started_variance numeric
@attribute Fellow_teach_started_variance_Y5 numeric
@attribute Fellow_research_started_variance_Y5 numeric
@attribute Y_no_fellow_teach_started numeric
@attribute Y_no_fellow_research_started numeric
@attribute Fellow_teach_active_2012 numeric
@attribute Fellow_research_active_2012 numeric
@attribute Fellow_teach_active_Y2 numeric
@attribute Fellow_research_active_Y2 numeric
@attribute Fellow_teach_active_Y5 numeric
@attribute Fellow_research_active_Y5 numeric
@attribute Fellow_teach_active_Y12 numeric
@attribute Fellow_research_active_Y12 numeric
@attribute Fellow_teach_active_ALL numeric
@attribute Fellow_research_active_ALL numeric
@attribute Fellow_teach_active_variance numeric
@attribute Fellow_research_active_variance numeric
@attribute Fellow_teach_active_variance_Y5 numeric
@attribute Fellow_research_active_variance_Y5 numeric
@attribute Y_no_fellow_teach_active numeric
@attribute Y_no_fellow_research_active numeric
@attribute directorship_national_started_2012 numeric
@attribute directorship_international_started_2012 numeric
@attribute directorship_national_active_2012 numeric
@attribute directorship_international_active_2012 numeric
@attribute directorship_national_started_Y2 numeric
@attribute directorship_international_started_Y2 numeric
@attribute directorship_national_active_Y2 numeric
@attribute directorship_international_active_Y2 numeric
@attribute directorship_national_started_Y5 numeric
@attribute directorship_international_started_Y5 numeric
@attribute directorship_national_active_Y5 numeric
@attribute directorship_international_active_Y5 numeric
@attribute directorship_national_started_Y12 numeric
@attribute directorship_international_started_Y12 numeric
@attribute directorship_national_active_Y12 numeric
@attribute directorship_international_active_Y12 numeric
@attribute directorship_national_started_ALL numeric
@attribute directorship_international_started_ALL numeric
@attribute directorship_national_active_ALL numeric
@attribute directorship_international_active_ALL numeric
@attribute directorship_national_started_variance numeric
@attribute directorship_international_started_variance numeric
@attribute directorship_national_active_variance numeric
@attribute directorship_international_active_variance numeric
@attribute directorship_national_started_variance_Y5 numeric
@attribute directorship_international_started_variance_Y5 numeric
@attribute directorship_national_active_variance_Y5 numeric
@attribute directorship_international_active_variance_Y5 numeric
@attribute Y_no_directorship_national_started numeric
@attribute Y_no_directorship_international_started numeric
@attribute Y_no_directorship_national_active numeric
@attribute Y_no_directorship_international_active numeric
@attribute gender {M,F}
@attribute Abilitato {No,Si}

@data
1978,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,22.570999,0,0,0,0,0,0,0,0,0,7,0,7,35.929001,0,0,0,0,1,0,0,0,0,13,0,12,60445,0,0,0,0,3,0,0,0,0,14,0,13,66.885002,0,0,0,0,3,0,0,0,0,14,0,13,66.885002,0,0,0,0,0.285714,0,0,0,0,3.466667,0,2.966667,0,0,0,0,0.2,0,0,0,0,3.8,0,3.3,2007,2007,2006,12,9,12,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1973,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1966,Assistant,0,0,1,1,0,0,0,0,0,0,'Nessuna afferenza',?,ITC48,1,Yes,1361,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1099,467,1,0,0,0,7399959,6875.3257,7399959,6875.3257,pavia,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,15104,0,0,0,0,0,0,0,0,0,3,0,3,22.556999,0,0,0,0,0,0,0,0,0,8,0,8,33.533001,0,0,0,0,0,0,0,0,0,11,0,11,41702,0,0,0,0,0,0,0,0,0,11,0,11,41702,0,0,0,0,0,0,0,0,0,0.285714,0,0.285714,0,0,0,0,0,0,0,0,0,0.3,0,0.3,2004,2004,2004,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1970,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1981,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,30493,0,0,0,0,0,0,0,0,0,8,0,7,49.789001,0,0,0,0,0,0,0,0,0,11,0,9,83.851997,0,0,0,0,0,0,0,0,0,11,0,9,83.851997,0,0,0,0,0,0,0,0,0,11,0,9,83.851997,0,0,0,0,0,0,0,0,0,3.2,0,2.25,0,0,0,0,0,0,0,0,0,3.2,0,2.7,2008,2009,2008,9,7,9,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1976,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3329,0,0,0,0,0,0,0,0,0,4,0,4,14.6,0,0,0,0,0,0,0,0,0,9,0,9,30.564999,0,0,0,0,0,0,0,0,0,10,0,10,36.882999,0,0,0,0,0,0,0,0,0,10,0,10,36.882999,0,0,0,0,0,0,0,0,0,0.666667,0,0.666667,0,0,0,0,0,0,0,0,0,0.7,0,0.7,2004,2004,2004,10,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1960,Assistant,0,0,1,1,0,0,0,0,0,0,'Nessuna afferenza',?,ITF31,1,No,1991,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1757,338,0,0,0,1,9760.3857,5623.4941,9760.3857,5623.4941,napoli_sec,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3248,0,0,0,0,0,0,0,0,0,9,0,3,12653,0,0,0,3,0,0,0,1,0,18,0,12,40.290001,0,0,5,4,0,0,0,1,0,50,0,20,62159,0,0,0.233618,0.230769,0,0,0,0.090909,0,0.989418,0,1.648352,0,0,0,0,0,0,0,0,0,0.7,0,0.3,1982,2000,1982,30,9,27,9,3,17,0,4,0,0,1,9,0,0,0,5,0,0,2,14,0,0,0,8,0,0,5,20,0,0,1,9,0,0,7,22,0,0,1,9,0,0,7,22,0,0,0.142857,2.571429,0,0,0,9.476191,0,0,0,3.3,0,0,0,11.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1969,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,54.476002,0,2,0,0,0,0,0,0,0,4,0,5,68.187004,0,3,0,0,0,0,0,0,0,9,0,11,143.63501,0,6,1,0,0,0,0,0,0,24,0,27,360827,0,6,1,0,0,0,0,0,0,29,0,29,381.52499,0,0.266667,125,0,0,0,0,0,0,1.456044,0,1.358974,0,0.25,0,0,0,0,0,0,0,0.916667,0,0.25,1997,1998,1997,28,7,24,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1982,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,7733,0,0,0,0,0,0,0,0,0,8,0,4,25778,0,0,0,0,0,0,0,0,1,12,0,9,54.214001,0,0,0,0,0,0,0,0,1,12,0,9,54.214001,0,0,0,0,0,0,0,0,1,12,0,9,54.214001,0,0,0,0,0,0,0,0,0.2,2.8,0,0.2,0,0,0,0,0,0,0,0,0.2,2.8,0,0.2,2008,2009,2008,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
1979,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,5135,0,0,0,3,0,0,0,0,0,2,0,2,7.26,0,0,0,3,9,0,0,0,0,6,0,4,9.728001,0,0,0,3,21,0,0,0,0,11,0,7,16046,0,0,0,3,21,0,0,0,0,11,0,7,16046,0,0,0,0.5,3.211111,0,0,0,0,0.444444,0,125,0,0,0,0.8,4.7,0,0,0,0,0.7,0,0.2,2004,2005,2003,8,4,8,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,No
