Recruitment Field,Precision,Recall,F-Measure
09/D1,0.946,0.939,0.942
11/E4,0.899,0.908,0.904
09/E3,0.921,0.886,0.903
11/D2,0.866,0.922,0.893
06/L1,0.860,0.925,0.891
11/D1,0.883,0.883,0.883
08/A2,0.854,0.911,0.882
06/F2,0.929,0.839,0.881
12/B2,0.900,0.857,0.878
05/I1,0.869,0.876,0.872
10/F3,0.889,0.842,0.865
08/D1,0.854,0.866,0.860
06/N1,0.843,0.864,0.854
11/E3,0.846,0.863,0.854
12/D2,0.850,0.850,0.850
07/H4,0.824,0.875,0.848
09/C1,0.889,0.800,0.842
02/C1,0.830,0.852,0.841
14/C1,0.828,0.849,0.838
04/A4,0.806,0.870,0.837
06/A3,0.843,0.819,0.831
05/G1,0.817,0.842,0.829
01/B1,0.810,0.850,0.829
05/H2,0.804,0.854,0.828
11/E2,0.864,0.792,0.826
05/B2,0.781,0.877,0.826
06/D1,0.811,0.837,0.824
07/F1,0.793,0.852,0.821
13/B3,0.829,0.810,0.819
06/M2,0.825,0.813,0.819
06/B1,0.774,0.857,0.814
13/B2,0.796,0.830,0.813
13/D1,0.831,0.793,0.812
02/B3,0.790,0.824,0.807
06/E1,0.770,0.838,0.803
06/F4,0.771,0.835,0.802
06/H1,0.783,0.818,0.800
03/D2,0.800,0.800,0.800
11/C4,0.822,0.771,0.796
12/E2,0.792,0.792,0.792
10/C1,0.780,0.800,0.790
06/G1,0.766,0.808,0.787
11/A4,0.787,0.787,0.787
10/B1,0.778,0.790,0.784
08/A4,0.769,0.800,0.784
07/H2,0.750,0.818,0.783
11/C3,0.811,0.754,0.782
05/B1,0.776,0.787,0.781
09/F2,0.787,0.774,0.780
10/N1,0.767,0.793,0.780
10/D1,0.793,0.767,0.780
06/M1,0.785,0.773,0.779
08/A3,0.778,0.778,0.778
13/A4,0.761,0.794,0.777
09/G2,0.809,0.745,0.776
09/H1,0.763,0.787,0.775
06/F1,0.746,0.806,0.775
14/A2,0.804,0.740,0.771
09/F1,0.727,0.821,0.771
14/D1,0.745,0.792,0.768
14/C2,0.759,0.774,0.766
12/D1,0.819,0.720,0.766
04/A3,0.756,0.773,0.764
10/F1,0.756,0.773,0.764
08/E2,0.775,0.750,0.762
12/G1,0.727,0.800,0.762
09/E4,0.794,0.730,0.761
08/B3,0.750,0.771,0.761
06/E3,0.771,0.750,0.761
11/E1,0.775,0.743,0.759
06/A2,0.727,0.790,0.757
11/C5,0.753,0.753,0.753
12/A1,0.737,0.769,0.753
11/C2,0.732,0.774,0.752
01/A5,0.750,0.750,0.750
05/E1,0.700,0.800,0.747
06/D3,0.722,0.765,0.743
08/E1,0.765,0.722,0.743
05/E2,0.699,0.791,0.742
11/A5,0.767,0.719,0.742
07/H1,0.769,0.714,0.741
10/F2,0.755,0.725,0.740
03/A1,0.724,0.750,0.737
08/C1,0.741,0.723,0.732
12/G2,0.682,0.789,0.732
13/A1,0.761,0.695,0.727
07/B1,0.722,0.722,0.722
11/A2,0.717,0.717,0.717
13/B1,0.696,0.738,0.716
09/B2,0.625,0.833,0.714
01/A4,0.747,0.683,0.713
10/G1,0.700,0.724,0.712
03/D1,0.682,0.738,0.709
08/A1,0.737,0.683,0.709
10/L1,0.686,0.729,0.707
11/C1,0.706,0.706,0.706
13/D2,0.714,0.694,0.704
13/D4,0.698,0.710,0.704
14/A1,0.724,0.677,0.700
11/A1,0.700,0.700,0.700
06/E2,0.690,0.707,0.699
12/C2,0.667,0.727,0.696
04/A1,0.684,0.709,0.696
05/D1,0.654,0.737,0.693
04/A2,0.667,0.717,0.691
12/H2,0.714,0.667,0.690
11/A3,0.708,0.671,0.689
08/F1,0.690,0.678,0.684
08/B2,0.692,0.675,0.684
06/A4,0.628,0.750,0.684
09/D2,0.652,0.714,0.682
01/A1,0.689,0.674,0.681
12/C1,0.692,0.655,0.673
05/A1,0.662,0.681,0.671
03/A2,0.670,0.670,0.670
09/G1,0.750,0.600,0.667
13/C1,0.675,0.659,0.667
06/D5,0.640,0.696,0.667
10/D3,0.667,0.667,0.667
07/E1,0.643,0.675,0.659
12/E3,0.676,0.641,0.658
12/E1,0.622,0.683,0.651
07/C1,0.700,0.609,0.651
09/A2,0.636,0.667,0.651
06/D6,0.629,0.672,0.650
10/N3,0.688,0.611,0.647
05/H1,0.620,0.674,0.646
13/D3,0.621,0.667,0.643
09/C2,0.654,0.630,0.642
13/A3,0.667,0.611,0.638
01/A2,0.610,0.667,0.637
06/D2,0.571,0.718,0.636
