Recruitment Field,Precision,Recall,F-Measure
09/D1,0.954,0.973,0.963
07/F1,0.962,0.926,0.943
05/I1,0.870,0.992,0.927
06/F2,0.906,0.935,0.921
11/E4,0.864,0.969,0.913
11/E2,0.976,0.854,0.911
11/E3,0.873,0.941,0.906
06/L1,0.862,0.943,0.901
11/D1,0.875,0.909,0.892
08/D1,0.843,0.944,0.890
08/A2,0.840,0.933,0.884
14/C1,0.830,0.941,0.882
02/C1,0.832,0.933,0.880
07/H4,0.875,0.875,0.875
10/F3,0.850,0.895,0.872
11/D2,0.826,0.922,0.871
12/D1,0.839,0.890,0.864
06/N1,0.787,0.950,0.861
06/D1,0.808,0.913,0.857
13/D1,0.800,0.920,0.856
11/C3,0.887,0.825,0.855
12/E2,0.788,0.931,0.854
02/B3,0.797,0.914,0.851
09/C1,0.850,0.850,0.850
05/B2,0.810,0.895,0.850
05/B1,0.807,0.893,0.848
08/A1,0.818,0.878,0.847
01/B1,0.772,0.929,0.843
09/E3,0.877,0.810,0.842
12/F1,0.724,1.000,0.840
06/A3,0.783,0.903,0.839
11/E1,0.870,0.811,0.839
05/G1,0.807,0.871,0.838
10/N1,0.761,0.931,0.837
06/E3,0.903,0.778,0.836
04/A4,0.756,0.930,0.834
09/B2,0.833,0.833,0.833
01/A6,0.769,0.909,0.833
11/C4,0.792,0.875,0.832
14/D1,0.848,0.813,0.830
05/H2,0.759,0.917,0.830
14/A2,0.786,0.880,0.830
09/G2,0.824,0.824,0.824
06/M2,0.778,0.875,0.824
06/F4,0.790,0.856,0.822
14/C2,0.780,0.868,0.821
06/M1,0.809,0.833,0.821
13/B2,0.792,0.851,0.821
09/A3,0.926,0.735,0.820
08/E1,0.900,0.750,0.818
06/B1,0.751,0.881,0.811
06/D3,0.750,0.882,0.811
13/A4,0.773,0.853,0.811
13/B3,0.810,0.810,0.810
06/H1,0.800,0.818,0.809
09/E4,0.829,0.784,0.806
06/E1,0.747,0.868,0.803
09/B1,0.800,0.800,0.800
05/E1,0.711,0.914,0.800
08/A3,0.800,0.800,0.800
05/A2,0.667,1.000,0.800
11/A4,0.790,0.803,0.797
09/F2,0.803,0.790,0.797
01/A1,0.727,0.870,0.792
08/A4,0.750,0.840,0.792
08/B2,0.739,0.850,0.791
06/F1,0.736,0.855,0.791
08/F1,0.783,0.797,0.790
09/F1,0.762,0.821,0.790
08/B3,0.778,0.800,0.789
10/B1,0.784,0.790,0.787
10/D1,0.846,0.733,0.786
11/C5,0.756,0.808,0.781
14/A1,0.758,0.806,0.781
10/D3,0.793,0.767,0.780
06/A4,0.732,0.833,0.779
12/A1,0.724,0.835,0.776
06/G1,0.747,0.808,0.776
04/A3,0.773,0.773,0.773
12/C1,0.746,0.800,0.772
10/F1,0.719,0.833,0.772
