Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
01/A1,B,I+II,0.705,0.728,0.717
01/A1,B,I,0.696,0.696,0.696
01/A1,B,II,0.673,0.717,0.695
01/A2,B,I+II,0.626,0.615,0.62
01/A2,B,I,0.622,0.68,0.65
01/A2,B,II,0.602,0.596,0.599
01/A3,B,I+II,0.721,0.687,0.704
01/A3,B,I,0.605,0.59,0.598
01/A3,B,II,0.753,0.769,0.761
01/A4,B,I+II,0.737,0.77,0.753
01/A4,B,I,0.726,0.646,0.684
01/A4,B,II,0.692,0.786,0.736
01/A5,B,I+II,0.8,0.79,0.795
01/A5,B,I,0.739,0.708,0.723
01/A5,B,II,0.8,0.772,0.786
01/A6,B,I+II,0.604,0.592,0.598
01/A6,B,I,0.714,0.682,0.698
01/A6,B,II,0.552,0.593,0.571
01/B1,B,I+II,0.778,0.83,0.803
01/B1,B,I,0.822,0.836,0.829
01/B1,B,II,0.753,0.795,0.773
02/A1,B,I+II,0.503,0.337,0.403
02/A1,B,I,0.503,0.542,0.522
02/A1,B,II,0.405,0.123,0.189
02/A2,B,I+II,0.563,0.293,0.385
02/A2,B,I,0.5,0.391,0.439
02/A2,B,II,0.474,0.167,0.247
02/B1,B,I+II,0.6,0.552,0.575
02/B1,B,I,0.554,0.514,0.533
02/B1,B,II,0.602,0.588,0.595
02/B2,B,I+II,0.71,0.727,0.719
02/B2,B,I,0.628,0.587,0.607
02/B2,B,II,0.672,0.739,0.704
02/B3,B,I+II,0.813,0.889,0.849
02/B3,B,I,0.797,0.862,0.828
02/B3,B,II,0.809,0.885,0.845
02/C1,B,I+II,0.746,0.833,0.787
02/C1,B,I,0.836,0.852,0.844
02/C1,B,II,0.736,0.783,0.759
03/A1,B,I+II,0.673,0.769,0.718
03/A1,B,I,0.667,0.714,0.69
03/A1,B,II,0.694,0.792,0.74
03/A2,B,I+II,0.678,0.711,0.694
03/A2,B,I,0.648,0.648,0.648
03/A2,B,II,0.645,0.689,0.667
03/B1,B,I+II,0.679,0.686,0.682
03/B1,B,I,0.5,0.458,0.478
03/B1,B,II,0.696,0.79,0.74
03/B2,B,I+II,0.559,0.541,0.55
03/B2,B,I,0.429,0.462,0.444
03/B2,B,II,0.595,0.521,0.556
03/C1,B,I+II,0.753,0.825,0.787
03/C1,B,I,0.678,0.69,0.684
03/C1,B,II,0.664,0.676,0.67
03/C2,B,I+II,0.648,0.676,0.662
03/C2,B,I,0.72,0.692,0.706
03/C2,B,II,0.652,0.714,0.682
03/D1,B,I+II,0.765,0.823,0.793
03/D1,B,I,0.738,0.738,0.738
03/D1,B,II,0.809,0.832,0.82
03/D2,B,I+II,0.721,0.738,0.729
03/D2,B,I,0.8,0.8,0.8
03/D2,B,II,0.629,0.688,0.657
04/A1,B,I+II,0.681,0.713,0.697
04/A1,B,I,0.714,0.727,0.721
04/A1,B,II,0.615,0.649,0.632
04/A2,B,I+II,0.597,0.718,0.652
04/A2,B,I,0.679,0.679,0.679
04/A2,B,II,0.596,0.746,0.663
04/A3,B,I+II,0.766,0.818,0.791
04/A3,B,I,0.761,0.795,0.778
04/A3,B,II,0.705,0.833,0.764
04/A4,B,I+II,0.779,0.882,0.827
04/A4,B,I,0.809,0.89,0.848
04/A4,B,II,0.789,0.878,0.831
05/A1,B,I+II,0.757,0.801,0.778
05/A1,B,I,0.657,0.667,0.662
05/A1,B,II,0.738,0.837,0.785
05/A2,B,I+II,0.696,0.75,0.722
05/A2,B,I,0.545,0.667,0.6
05/A2,B,II,0.765,0.765,0.765
05/B1,B,I+II,0.797,0.854,0.824
05/B1,B,I,0.838,0.827,0.832
05/B1,B,II,0.796,0.871,0.832
05/B2,B,I+II,0.76,0.833,0.795
05/B2,B,I,0.8,0.842,0.821
05/B2,B,II,0.788,0.816,0.801
05/C1,B,I+II,0.738,0.817,0.775
05/C1,B,I,0.586,0.773,0.667
05/C1,B,II,0.691,0.78,0.733
05/D1,B,I+II,0.742,0.813,0.776
05/D1,B,I,0.66,0.716,0.687
05/D1,B,II,0.737,0.802,0.768
05/E1,B,I+II,0.755,0.847,0.798
05/E1,B,I,0.711,0.771,0.74
05/E1,B,II,0.788,0.876,0.83
05/E2,B,I+II,0.712,0.848,0.774
05/E2,B,I,0.693,0.769,0.729
05/E2,B,II,0.723,0.853,0.783
05/F1,B,I+II,0.622,0.565,0.592
05/F1,B,I,0.24,0.182,0.207
05/F1,B,II,0.675,0.632,0.653
05/G1,B,I+II,0.857,0.894,0.875
05/G1,B,I,0.821,0.861,0.841
05/G1,B,II,0.851,0.889,0.869
05/H1,B,I+II,0.694,0.8,0.743
05/H1,B,I,0.587,0.587,0.587
05/H1,B,II,0.697,0.817,0.752
05/H2,B,I+II,0.845,0.891,0.867
05/H2,B,I,0.78,0.813,0.796
05/H2,B,II,0.823,0.872,0.846
05/I1,B,I+II,0.888,0.921,0.904
05/I1,B,I,0.87,0.884,0.877
05/I1,B,II,0.883,0.92,0.901
06/A1,B,I+II,0.729,0.777,0.752
06/A1,B,I,0.548,0.607,0.576
06/A1,B,II,0.741,0.86,0.796
06/A2,B,I+II,0.78,0.859,0.818
06/A2,B,I,0.731,0.772,0.751
06/A2,B,II,0.8,0.896,0.845
06/A3,B,I+II,0.811,0.867,0.838
06/A3,B,I,0.845,0.833,0.839
06/A3,B,II,0.809,0.842,0.826
06/A4,B,I+II,0.649,0.724,0.685
06/A4,B,I,0.625,0.694,0.658
06/A4,B,II,0.672,0.804,0.732
06/B1,B,I+II,0.791,0.881,0.834
06/B1,B,I,0.775,0.839,0.806
06/B1,B,II,0.815,0.852,0.833
06/C1,B,I+II,0.726,0.765,0.745
06/C1,B,I,0.604,0.667,0.634
06/C1,B,II,0.759,0.795,0.776
06/D1,B,I+II,0.802,0.825,0.813
06/D1,B,I,0.802,0.793,0.798
06/D1,B,II,0.777,0.835,0.805
06/D2,B,I+II,0.726,0.778,0.751
06/D2,B,I,0.548,0.59,0.568
06/D2,B,II,0.75,0.763,0.757
06/D3,B,I+II,0.746,0.82,0.781
06/D3,B,I,0.733,0.741,0.737
06/D3,B,II,0.722,0.767,0.744
06/D4,B,I+II,0.615,0.603,0.609
06/D4,B,I,0.542,0.605,0.571
06/D4,B,II,0.639,0.67,0.654
06/D5,B,I+II,0.686,0.64,0.662
06/D5,B,I,0.652,0.652,0.652
06/D5,B,II,0.755,0.769,0.762
06/D6,B,I+II,0.713,0.79,0.749
06/D6,B,I,0.627,0.724,0.672
06/D6,B,II,0.634,0.717,0.673
06/E1,B,I+II,0.702,0.762,0.731
06/E1,B,I,0.737,0.824,0.778
06/E1,B,II,0.748,0.835,0.789
06/E2,B,I+II,0.741,0.826,0.781
06/E2,B,I,0.659,0.707,0.682
06/E2,B,II,0.736,0.824,0.777
06/E3,B,I+II,0.667,0.682,0.674
06/E3,B,I,0.771,0.75,0.761
06/E3,B,II,0.648,0.714,0.68
06/F1,B,I+II,0.729,0.81,0.768
06/F1,B,I,0.754,0.839,0.794
06/F1,B,II,0.706,0.791,0.746
06/F2,B,I+II,0.875,0.929,0.901
06/F2,B,I,0.844,0.871,0.857
06/F2,B,II,0.884,0.91,0.897
06/F3,B,I+II,0.375,0.29,0.327
06/F3,B,I,0.4,0.333,0.364
06/F3,B,II,0.529,0.36,0.429
06/F4,B,I+II,0.815,0.874,0.844
06/F4,B,I,0.777,0.825,0.8
06/F4,B,II,0.784,0.859,0.82
06/G1,B,I+II,0.769,0.776,0.773
