Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
07/F1,B,I,0.929,0.963,0.945
09/D1,B,I,0.931,0.912,0.922
12/B2,NB,I,0.900,0.890,0.895
11/D2,NB,I,0.866,0.922,0.893
05/I1,B,I,0.879,0.901,0.890
08/D1,NB,I,0.882,0.894,0.888
11/E4,B,I,0.896,0.878,0.887
09/E3,B,I,0.886,0.886,0.886
11/D1,NB,I,0.883,0.883,0.883
08/A2,B,I,0.837,0.911,0.872
06/N1,B,I,0.857,0.857,0.857
10/F3,NB,I,0.865,0.842,0.853
06/L1,B,I,0.833,0.849,0.841
13/B3,NB,I,0.872,0.810,0.840
06/A3,B,I,0.845,0.833,0.839
04/A4,B,I,0.804,0.860,0.831
14/C1,NB,I,0.838,0.824,0.831
13/B2,NB,I,0.802,0.862,0.831
06/F2,B,I,0.794,0.871,0.831
01/B1,B,I,0.816,0.845,0.830
05/B1,B,I,0.827,0.827,0.827
11/A4,NB,I,0.833,0.820,0.826
07/H4,B,I,0.778,0.875,0.824
05/B2,B,I,0.790,0.860,0.824
06/D1,B,I,0.811,0.837,0.824
02/C1,B,I,0.789,0.852,0.819
02/B3,B,I,0.794,0.843,0.818
11/E2,B,I,0.878,0.750,0.809
11/C4,NB,I,0.826,0.792,0.809
05/H2,B,I,0.784,0.833,0.808
06/B1,B,I,0.772,0.845,0.807
06/F4,B,I,0.761,0.856,0.806
05/G1,B,I,0.796,0.812,0.804
04/A3,B,I,0.783,0.818,0.800
12/D2,NB,I,0.800,0.800,0.800
12/E2,NB,I,0.824,0.778,0.800
10/B1,NB,I,0.787,0.806,0.797
06/M1,B,I,0.785,0.803,0.794
13/A4,NB,I,0.762,0.824,0.792
11/E3,B,I,0.800,0.784,0.792
13/D1,NB,I,0.807,0.770,0.788
08/A4,B,I,0.769,0.800,0.784
06/E1,B,I,0.747,0.824,0.783
08/A3,B,I,0.766,0.800,0.783
14/C2,NB,I,0.788,0.774,0.781
06/M2 ,#N/A,I,0.781,0.781,0.781
09/F2,B,I,0.758,0.806,0.781
10/N1,NB,I,0.767,0.793,0.780
10/F2,NB,I,0.796,0.765,0.780
10/F1,NB,I,0.761,0.795,0.778
03/D2,B,I,0.875,0.700,0.778
09/G2,B,I,0.769,0.784,0.777
09/H1,B,I,0.766,0.780,0.773
08/B3,B,I,0.771,0.771,0.771
11/E1,B,I,0.770,0.770,0.770
09/C1,B,I,0.789,0.750,0.769
10/D1,NB,I,0.767,0.767,0.767
14/D1,NB,I,0.755,0.771,0.763
09/E4,B,I,0.744,0.784,0.763
12/A1,NB,I,0.735,0.791,0.762
08/E1,NB,I,0.771,0.750,0.761
03/D1,B,I,0.746,0.770,0.758
08/E2,NB,I,0.764,0.739,0.751
12/G2,NB,I,0.714,0.789,0.750
06/F1,B,I,0.716,0.774,0.744
06/A2,B,I,0.728,0.759,0.743
09/G1,B,I,0.778,0.700,0.737
06/H1,B,I,0.686,0.795,0.737
12/G1,NB,I,0.714,0.750,0.732
11/C5,NB,I,0.736,0.726,0.731
06/D3,B,I,0.699,0.765,0.730
10/C1,NB,I,0.734,0.725,0.730
05/E1,B,I,0.692,0.771,0.730
12/D1,NB,I,0.797,0.671,0.728
03/A1,B,I,0.741,0.714,0.727
14/A2,NB,I,0.773,0.680,0.723
11/A2,NB,I,0.729,0.717,0.723
13/B1,NB,I,0.706,0.738,0.722
11/C3,NB,I,0.765,0.684,0.722
07/H1,B,I,0.818,0.643,0.720
12/C1,NB,I,0.695,0.745,0.719
11/A3,NB,I,0.720,0.711,0.715
11/C2,NB,I,0.704,0.717,0.710
13/A1,NB,I,0.718,0.701,0.709
08/B2,B,I,0.718,0.700,0.709
06/D5,B,I,0.680,0.739,0.708
06/E3,B,I,0.750,0.667,0.706
06/G1,B,I,0.667,0.740,0.701
05/E2,B,I,0.642,0.769,0.700
11/A1,NB,I,0.700,0.700,0.700
09/F1,B,I,0.683,0.718,0.700
06/D6,B,I,0.647,0.759,0.698
04/A1,B,I,0.684,0.709,0.696
05/D1,B,I,0.663,0.726,0.693
08/C1,NB,I,0.709,0.675,0.691
08/A1,B,I,0.711,0.659,0.684
10/D3,NB,I,0.731,0.633,0.679
08/F1,NB,I,0.678,0.678,0.678
14/A1,NB,I,0.677,0.677,0.677
11/A5,NB,I,0.700,0.656,0.677
13/C1,NB,I,0.692,0.659,0.675
01/A4,B,I,0.692,0.659,0.675
06/A4,B,I,0.614,0.750,0.675
07/E1,B,I,0.675,0.675,0.675
03/C1,B,I,0.656,0.690,0.672
10/G1,NB,I,0.672,0.672,0.672
13/D2,NB,I,0.697,0.639,0.667
11/C1,NB,I,0.688,0.647,0.667
