settore09-D1	I	1,2,3,5	0.938	0.919	0.928
settore11-E4	II	1,2,3,5	0.903	0.940	0.921
settore07-F1	II	1,2,3,5	0.894	0.938	0.916
settore11-E4	I+II	1,2,3,5	0.883	0.937	0.909
settore09-D1	I+II	1,2,3,5	0.889	0.928	0.908
settore09-D1	II	1,2,3,5	0.878	0.935	0.906
settore14-C2	II	1,2,3,5	0.889	0.917	0.903
settore06-F2	I+II	1,2,3,5	0.868	0.939	0.902
settore07-F1	I+II	1,2,3,5	0.884	0.917	0.900
settore05-I1	I+II	1,2,3,5	0.882	0.915	0.898
settore06-F2	II	1,2,3,5	0.896	0.896	0.896
settore14-C1	I+II	1,2,3,5	0.878	0.913	0.895
settore11-E2	I+II	1,2,3,5	0.875	0.911	0.893
settore11-D2	I	1,2,3,5	0.866	0.922	0.893
settore05-I1	II	1,2,3,5	0.876	0.908	0.892
settore14-C1	II	1,2,3,5	0.872	0.909	0.890
settore08-D1	I+II	1,2,3,5	0.873	0.907	0.890
settore11-D2	II	1,2,3,5	0.898	0.879	0.888
settore11-E4	I	1,2,3,5	0.896	0.878	0.887
settore11-D2	I+II	1,2,3,5	0.876	0.899	0.887
settore08-D1	II	1,2,3,5	0.866	0.906	0.886
settore11-D1	I	1,2,3,5	0.883	0.883	0.883
settore10-F3	I	1,2,3,5	0.872	0.895	0.883
settore06-F2	I	1,2,3,5	0.929	0.839	0.881
settore06-L1	I	1,2,3,5	0.857	0.906	0.881
settore08-D1	I	1,2,3,5	0.886	0.873	0.879
settore06-N1	II	1,2,3,5	0.827	0.932	0.877
settore05-I1	I	1,2,3,5	0.870	0.884	0.877
settore09-E3	I	1,2,3,5	0.895	0.861	0.877
settore11-D1	II	1,2,3,5	0.848	0.906	0.876
settore05-G1	I+II	1,2,3,5	0.859	0.892	0.875
settore06-N1	I+II	1,2,3,5	0.834	0.915	0.872
settore12-B2	I	1,2,3,5	0.944	0.810	0.872
settore11-D1	I+II	1,2,3,5	0.851	0.892	0.871
settore14-C2	I+II	1,2,3,5	0.858	0.883	0.870
settore07-F1	I	1,2,3,5	0.885	0.852	0.868
settore12-D2	II	1,2,3,5	0.868	0.868	0.868
settore05-H2	I+II	1,2,3,5	0.845	0.891	0.867
settore12-D2	I+II	1,2,3,5	0.848	0.886	0.867
settore06-N1	I	1,2,3,5	0.870	0.861	0.865
settore05-G1	II	1,2,3,5	0.838	0.892	0.864
settore08-A2	I+II	1,2,3,5	0.856	0.868	0.862
settore08-A2	I	1,2,3,5	0.833	0.889	0.860
settore06-L1	II	1,2,3,5	0.819	0.906	0.860
settore12-D2	I	1,2,3,5	0.818	0.900	0.857
settore06-L1	I+II	1,2,3,5	0.830	0.884	0.856
settore11-E2	II	1,2,3,5	0.849	0.861	0.855
settore08-C1	II	1,2,3,5	0.840	0.870	0.855
settore10-F1	II	1,2,3,5	0.810	0.898	0.852
settore12-E1	II	1,2,3,5	0.831	0.873	0.851
settore09-E3	I+II	1,2,3,5	0.838	0.863	0.850
settore09-G2	I+II	1,2,3,5	0.824	0.872	0.847
settore02-B3	I+II	1,2,3,5	0.810	0.888	0.847
settore05-H2	II	1,2,3,5	0.823	0.872	0.846
settore08-A3	I+II	1,2,3,5	0.822	0.869	0.845
settore06-F4	I+II	1,2,3,5	0.815	0.874	0.844
settore06-A2	II	1,2,3,5	0.804	0.889	0.844
settore09-C1	I+II	1,2,3,5	0.839	0.849	0.844
settore11-A4	I+II	1,2,3,5	0.815	0.876	0.844
settore11-A4	II	1,2,3,5	0.798	0.896	0.844
settore06-M1	II	1,2,3,5	0.807	0.883	0.843
settore11-E3	I	1,2,3,5	0.843	0.843	0.843
settore02-B3	II	1,2,3,5	0.806	0.883	0.843
settore06-B1	I+II	1,2,3,5	0.802	0.889	0.843
settore09-F1	II	1,2,3,5	0.836	0.848	0.842
settore05-G1	I	1,2,3,5	0.821	0.861	0.841
settore13-B2	I	1,2,3,5	0.812	0.872	0.841
settore13-B3	I	1,2,3,5	0.872	0.810	0.840
settore09-E4	I+II	1,2,3,5	0.827	0.851	0.839
settore11-E3	I+II	1,2,3,5	0.826	0.850	0.838
settore08-A2	II	1,2,3,5	0.846	0.830	0.838
settore08-C1	I+II	1,2,3,5	0.839	0.837	0.838
settore10-F1	I+II	1,2,3,5	0.802	0.878	0.838
settore01-B1	I	1,2,3,5	0.828	0.850	0.838
settore05-B1	II	1,2,3,5	0.801	0.880	0.838
settore12-B1	II	1,2,3,5	0.810	0.867	0.838
settore06-M2	II	1,2,3,5	0.817	0.860	0.838
settore02-C1	I	1,2,3,5	0.829	0.846	0.837
settore10-C1	II	1,2,3,5	0.796	0.882	0.837
settore10-D1	II	1,2,3,5	0.813	0.862	0.837
settore04-A4	II	1,2,3,5	0.794	0.883	0.836
settore04-A4	I	1,2,3,5	0.798	0.870	0.833
settore10-B1	I+II	1,2,3,5	0.783	0.890	0.833
settore13-B3	II	1,2,3,5	0.815	0.852	0.833
settore06-B1	II	1,2,3,5	0.807	0.861	0.833
settore13-B2	I+II	1,2,3,5	0.822	0.841	0.832
settore14-D1	II	1,2,3,5	0.828	0.833	0.831
settore14-C1	I	1,2,3,5	0.838	0.824	0.831
settore09-E2	II	1,2,3,5	0.800	0.865	0.831
settore08-E2	I+II	1,2,3,5	0.781	0.886	0.830
settore06-D1	I	1,2,3,5	0.813	0.848	0.830
settore12-D1	II	1,2,3,5	0.800	0.862	0.830
settore05-E1	II	1,2,3,5	0.788	0.876	0.830
settore10-B1	II	1,2,3,5	0.776	0.890	0.829
settore12-D1	I+II	1,2,3,5	0.819	0.840	0.829
settore06-M2	I+II	1,2,3,5	0.815	0.843	0.829
settore13-B2	II	1,2,3,5	0.837	0.818	0.828
settore05-B1	I	1,2,3,5	0.827	0.827	0.827
settore11-A4	I	1,2,3,5	0.833	0.820	0.826
settore07-H4	I	1,2,3,5	0.778	0.875	0.824
settore04-A4	I+II	1,2,3,5	0.780	0.872	0.823
settore06-A3	I	1,2,3,5	0.841	0.806	0.823
settore06-M1	I+II	1,2,3,5	0.792	0.853	0.822
settore11-E2	I	1,2,3,5	0.881	0.771	0.822
settore06-D1	I+II	1,2,3,5	0.803	0.843	0.822
settore06-M2	I	1,2,3,5	0.815	0.828	0.822
settore09-F2	II	1,2,3,5	0.810	0.835	0.822
settore06-F4	II	1,2,3,5	0.784	0.859	0.820
settore11-E3	II	1,2,3,5	0.819	0.819	0.819
settore06-A2	I+II	1,2,3,5	0.777	0.864	0.818
settore06-A3	II	1,2,3,5	0.821	0.815	0.818
settore10-C1	I+II	1,2,3,5	0.793	0.844	0.818
settore06-B1	I	1,2,3,5	0.783	0.857	0.818
settore13-D3	II	1,2,3,5	0.773	0.866	0.817
settore05-B1	I+II	1,2,3,5	0.790	0.844	0.816
settore08-E2	II	1,2,3,5	0.770	0.867	0.816
settore09-E4	II	1,2,3,5	0.803	0.828	0.815
settore08-A3	II	1,2,3,5	0.800	0.831	0.815
settore07-H1	I	1,2,3,5	0.846	0.786	0.815
settore02-B3	I	1,2,3,5	0.795	0.833	0.814
settore09-F1	I+II	1,2,3,5	0.798	0.829	0.813
settore08-B3	I+II	1,2,3,5	0.824	0.798	0.811
settore06-M1	I	1,2,3,5	0.796	0.826	0.810
