01	I+II		1,2,3,4,53,58,60,80,117,150,160,163,173,175,176,186,214,246
01	I		2,3,4,12,14,21,53,60,93,102,135,163,175,182,186,188,189,193,205,216,219,221,273
01	II		1,2,3,4,58,60,64,100,110,147,160,163,168,173,176,178,188,189,208,216,219
01	I+II	1,2,3,5	1,49,54,56,76,106,113,131,138,145,146,156,159,163,169,171,172,182,185,191,210,212,215
01	I	1,2,3,5	1,8,10,17,49,56,89,98,131,159,171,178,182,184,185,189,201,212,213,215,216,217,226,269
01	II	1,2,3,5	1,54,56,60,96,106,116,138,143,146,156,159,164,169,172,174,182,184,185,191,210,212,215
02	I+II		3,5,60,120,175,176,208,231,292
02	I		2,3,5,43,60,71,82,162,189,219,268,277,282,321
02	II		3,5,60,119,175,176,189,202,216,224,273
02	I+II	1,2,3,5	56,116,146,159,171,172,185,189,212,215,216,244,245,288
02	I	1,2,3,5	1,56,62,78,93,133,146,154,158,172,184,185,197,210,212,215,217,218,244,264,273,278,283,289,317
02	II	1,2,3,5	56,116,159,171,172,185,198,212,215,220,269
03	I+II		3,5,60,102,118,137,150,155,160,163,173,175,176,186,189,214,221,238,285
03	I		2,3,5,60,69,106,109,137,140,142,145,150,160,163,173,175,176,186,188,189,192,199,201,211,213,214,221,243,262,265,299,319
03	II		3,58,60,117,132,137,150,160,163,173,175,176,186,189,194,214,216,221,238,285
03	I+II	1,2,3,5	56,114,133,146,151,156,159,169,172,182,185,210,217,234,281
03	I	1,2,3,5	9,56,65,98,102,105,133,136,138,141,146,156,159,169,171,172,182,184,185,188,195,197,207,209,210,217,239,258,261,295,315
03	II	1,2,3,5	54,56,113,128,133,146,156,159,169,171,172,182,185,190,210,212,217,234,281
04	I+II		2,3,5,58,60,82,92,137,152,160,173,186,190,192,198,221,235
04	I		3,40,60,78,82,133,134,159,164,165,173,176,179,186,189,213,221,222,243,244,259
04	II		1,3,5,58,60,123,152,159,160,173,186,188,192,218,219,263,271,286
04	I+II	1,2,3,5	54,56,78,88,133,148,156,169,182,186,188,194,217,231
04	I	1,2,3,5	54,56,74,78,129,130,155,160,161,169,172,175,182,185,209,217,218,239,240,255
04	II	1,2,3,5	56,62,155,169,182,215,259,282
05	I+II		1,2,3,4,5,48,60,73,85,102,110,114,119,130,137,150,162,173,175,176,186,188,189,217,219,221,239,248
05	I		2,3,4,5,53,73,101,114,120,123,124,136,150,156,172,173,175,176,186,189,193,214,216,217,219,221,231,236,262,263,265,306,322
05	II		1,3,4,5,58,60,66,81,82,102,107,120,137,150,160,163,173,175,176,186,188,189,192,218,219,221,222,239,248,295
05	I+II	1,2,3,5	1,54,56,69,81,98,106,110,112,115,116,133,146,156,158,159,169,171,172,182,184,185,210,213,214,215,217,218,235,244,259,260
05	I	1,2,3,5	1,49,56,69,97,110,114,116,119,120,132,146,152,156,168,171,172,182,184,185,189,210,212,213,215,217,227,232,258,259,261,302,318
05	II	1,2,3,5	1,54,56,62,77,78,98,103,116,133,146,156,159,169,171,172,182,184,185,188,214,215,217,218,235,244,291
06	I+II		2,3,5,41,60,74,90,97,136,149,160,163,166,173,175,176,186,188,199,201,211,214,221,235,240,264,267,274
06	I		2,3,4,5,41,60,65,90,123,137,147,150,155,160,166,173,175,176,186,188,199,214,216,219,221,226,248,255,267
06	II		2,3,5,41,60,74,97,124,136,147,160,163,166,173,175,186,188,189,199,201,211,213,214,221,240,251,264,268,274
06	I+II	1,2,3,5	37,56,70,86,93,132,145,156,159,162,169,171,172,182,184,195,197,207,210,217,231,236,260,263,270
06	I	1,2,3,5	1,37,56,61,78,86,119,133,143,146,151,156,159,162,163,169,171,172,182,184,195,210,212,215,217,244,251,263
06	II	1,2,3,5	37,56,70,93,120,132,143,156,159,162,169,171,182,184,185,195,197,207,209,210,217,236,247,260,264,270
07	I+II		2,3,4,58,60,113,118,129,147,153,160,163,172,173,175,179,186,189,222,290,304
07	I		2,3,11,60,69,102,103,105,147,149,154,166,168,172,186,188,189,211,214,217,219,222
07	II		2,3,4,58,60,118,153,160,163,168,173,175,176,221,232,290,304
07	I+II	1,2,3,5	1,54,56,109,114,125,143,149,156,159,168,169,171,175,182,185,218,286,300
07	I	1,2,3,5	7,56,65,67,98,99,101,102,124,143,145,150,156,159,162,164,168,182,184,185,190,207,210,213,215,218,223,224
07	II	1,2,3,5	1,54,56,114,149,156,159,164,169,171,172,217,228,286,300
08	I+II		2,58,60,64,105,168,179,199
08	I		2,3,4,17,18,35,60,65,122,144,165,168,179,186,216,270
08	II		2,58,60,101,166,169,199
08	I+II	1,2,3,5	54,56,60,101,164,175,195
08	I	1,2,3,5	1,13,14,36,56,61,118,140,161,164,175,182,212,266
08	II	1,2,3,5	54,56,97,162,165,195
09	I+II		1,54,60,76,125,186,247
09	I		4,5,17,30,60,105,161,173,227
09	II		3,58,60,108,125,168,173,227,264
09	I+II	1,2,3,5	50,56,118,121,182,243
09	I	1,2,3,5	1,13,26,56,101,157,169,223
09	II	1,2,3,5	1,26,50,56,104,121,151,169,223,260
10	I+II		2,3,5,58,60,122,179,186,190,244,302
10	I		2,3,4,5,16,58,60,166,186,215,216,244,268
10	II		2,5,58,60,120,166,186,215
10	I+II	1,2,3,5	54,56,114,175,182,298
10	I	1,2,3,5	54,56,162,211,240
10	II	1,2,3,5	54,56,115,162,182
11	I+II		42,60,121,125,173,184,241,266
11	I		16,33,36,60,121,179
11	II		2,4,5,58,60,123,125,153,173,184,233
11	I+II	1,2,3,5	38,56,117,121,169,180,237,262
11	I	1,2,3,5	12,29,32,56,117,175
11	II	1,2,3,5	1,54,56,119,121,149,169,180,229
12	I+II		3,4,58,60,130,147,151,166,264
12	I		1,2,3,4,16,58,60,69,140,147,164,169,179,191,204,215,216,264
12	II		3,4,58,60,118,147,164,179,195,202,264,277
12	I+II	1,2,3,5	1,54,56,126,143,147,162,260
12	I	1,2,3,5	1,12,54,56,65,136,143,160,165,174,175,200,211,212,260
12	II	1,2,3,5	1,54,56,114,143,160,175,191,198,260,273
13	I+II		2,3,4,5,58,60,117,160,163,175,186,189,199,216
13	I		2,3,4,5,55,56,58,60,102,109,135,137,147,162,163,173,176,188,189,199,216,219,224,252,302,309
13	II		1,2,4,58,60,104,173,175,186,189,208,211
13	I+II	1,2,3,5	1,54,56,113,156,159,171,182,201
13	I	1,2,3,5	1,51,52,54,56,98,105,131,133,146,156,158,159,169,171,184,185,189,195,212,215,220,248,298,305
13	II	1,2,3,5	1,54,56,168,182,185,204,207
14	I+II		1,2,3,5,53,58,60,76,122,123,125,141,143,153,164,166,169,173,176,186,189,190,191,195,201,203,216,228,232,264,268,274,286
