Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
09/D1,B,I,0.954,0.973,0.963
07/F1,B,I,0.962,0.926,0.943
05/I1,B,I,0.870,0.992,0.927
06/F2,B,I,0.906,0.935,0.921
11/E4,B,I,0.864,0.969,0.913
11/E2,B,I,0.976,0.854,0.911
11/E3,B,I,0.873,0.941,0.906
06/L1,B,I,0.862,0.943,0.901
11/D1,NB,I,0.875,0.909,0.892
08/D1,NB,I,0.843,0.944,0.890
08/A2,B,I,0.840,0.933,0.884
14/C1,NB,I,0.830,0.941,0.882
02/C1,B,I,0.832,0.933,0.880
07/H4,B,I,0.875,0.875,0.875
10/F3,NB,I,0.850,0.895,0.872
11/D2,NB,I,0.826,0.922,0.871
12/D1,NB,I,0.839,0.890,0.864
06/N1,B,I,0.787,0.950,0.861
06/D1,B,I,0.808,0.913,0.857
13/D1,NB,I,0.800,0.920,0.856
11/C3,NB,I,0.887,0.825,0.855
12/E2,NB,I,0.788,0.931,0.854
02/B3,B,I,0.797,0.914,0.851
09/C1,B,I,0.850,0.850,0.850
05/B2,B,I,0.810,0.895,0.850
05/B1,B,I,0.807,0.893,0.848
08/A1,B,I,0.818,0.878,0.847
01/B1,B,I,0.772,0.929,0.843
09/E3,B,I,0.877,0.810,0.842
12/F1,NB,I,0.724,1.000,0.840
06/A3,B,I,0.783,0.903,0.839
11/E1,B,I,0.870,0.811,0.839
05/G1,B,I,0.807,0.871,0.838
10/N1,NB,I,0.761,0.931,0.837
06/E3,B,I,0.903,0.778,0.836
04/A4,B,I,0.756,0.930,0.834
09/B2,B,I,0.833,0.833,0.833
01/A6,B,I,0.769,0.909,0.833
11/C4,NB,I,0.792,0.875,0.832
14/D1,NB,I,0.848,0.813,0.830
05/H2,B,I,0.759,0.917,0.830
14/A2,NB,I,0.786,0.880,0.830
09/G2,B,I,0.824,0.824,0.824
06/M2,B,I,0.778,0.875,0.824
06/F4,B,I,0.790,0.856,0.822
14/C2,NB,I,0.780,0.868,0.821
06/M1,B,I,0.809,0.833,0.821
13/B2,NB,I,0.792,0.851,0.821
09/A3,B,I,0.926,0.735,0.820
08/E1,NB,I,0.900,0.750,0.818
06/B1,B,I,0.751,0.881,0.811
06/D3,B,I,0.750,0.882,0.811
13/A4,NB,I,0.773,0.853,0.811
13/B3,NB,I,0.810,0.810,0.810
06/H1,B,I,0.800,0.818,0.809
09/E4,B,I,0.829,0.784,0.806
06/E1,B,I,0.747,0.868,0.803
09/B1,B,I,0.800,0.800,0.800
05/E1,B,I,0.711,0.914,0.800
08/A3,B,I,0.800,0.800,0.800
05/A2,B,I,0.667,1.000,0.800
11/A4,NB,I,0.790,0.803,0.797
09/F2,B,I,0.803,0.790,0.797
01/A1,B,I,0.727,0.870,0.792
08/A4,B,I,0.750,0.840,0.792
08/B2,B,I,0.739,0.850,0.791
06/F1,B,I,0.736,0.855,0.791
08/F1,NB,I,0.783,0.797,0.790
09/F1,B,I,0.762,0.821,0.790
08/B3,B,I,0.778,0.800,0.789
10/B1,NB,I,0.784,0.790,0.787
10/D1,NB,I,0.846,0.733,0.786
11/C5,NB,I,0.756,0.808,0.781
14/A1,NB,I,0.758,0.806,0.781
10/D3,NB,I,0.793,0.767,0.780
06/A4,B,I,0.732,0.833,0.779
12/A1,NB,I,0.724,0.835,0.776
06/G1,B,I,0.747,0.808,0.776
04/A3,B,I,0.773,0.773,0.773
12/C1,NB,I,0.746,0.800,0.772
10/F1,NB,I,0.719,0.833,0.772
08/C1,NB,I,0.843,0.711,0.771
04/A2,B,I,0.703,0.849,0.769
07/H1,B,I,0.833,0.714,0.769
12/G2,NB,I,0.750,0.789,0.769
13/B1,NB,I,0.726,0.815,0.768
11/A3,NB,I,0.800,0.737,0.767
08/E2,NB,I,0.706,0.837,0.766
12/G1,NB,I,0.667,0.900,0.766
10/F2,NB,I,0.804,0.725,0.763
09/G1,B,I,0.727,0.800,0.762
09/C2,B,I,0.784,0.741,0.762
10/L1,NB,I,0.731,0.792,0.760
06/E2,B,I,0.717,0.805,0.759
12/E3,NB,I,0.750,0.769,0.759
07/B2,B,I,0.690,0.833,0.755
01/A4,B,I,0.763,0.744,0.753
13/A1,NB,I,0.753,0.753,0.753
09/H1,B,I,0.737,0.768,0.752
03/D1,B,I,0.734,0.770,0.752
13/C1,NB,I,0.769,0.732,0.750
05/D1,B,I,0.637,0.905,0.748
11/A1,NB,I,0.759,0.733,0.746
09/D3,B,I,0.696,0.800,0.744
02/B2,B,I,0.800,0.696,0.744
10/M2,NB,I,0.697,0.793,0.742
11/A2,NB,I,0.708,0.767,0.736
09/E1,B,I,0.710,0.759,0.733
11/C2,NB,I,0.695,0.774,0.732
06/A2,B,I,0.654,0.827,0.730
11/B1,NB,I,0.767,0.697,0.730
12/C2,NB,I,0.727,0.727,0.727
13/A5,NB,I,0.684,0.765,0.722
03/C1,B,I,0.672,0.776,0.720
03/C2,B,I,0.667,0.769,0.714
09/A2,B,I,0.714,0.714,0.714
13/A2,NB,I,0.733,0.685,0.708
01/A2,B,I,0.641,0.787,0.707
12/H1,NB,I,0.632,0.800,0.706
13/D3,NB,I,0.750,0.667,0.706
05/A1,B,I,0.716,0.696,0.706
10/C1,NB,I,0.740,0.675,0.706
05/E2,B,I,0.667,0.747,0.705
04/A1,B,I,0.717,0.691,0.704
11/C1,NB,I,0.676,0.735,0.704
12/D2,NB,I,0.765,0.650,0.703
09/A1,B,I,0.692,0.692,0.692
12/H3,NB,I,0.786,0.611,0.688
13/D2,NB,I,0.706,0.667,0.686
12/B2,NB,I,0.765,0.619,0.684
14/B2,NB,I,0.700,0.667,0.683
13/D4,NB,I,0.625,0.726,0.672
06/C1,B,I,0.624,0.724,0.670
06/I1,B,I,0.703,0.634,0.667
10/H1,NB,I,0.875,0.538,0.667
03/A1,B,I,0.692,0.643,0.667
03/D2,B,I,0.636,0.700,0.667
14/B1,NB,I,0.667,0.667,0.667
07/B1,B,I,0.667,0.667,0.667
10/D2,NB,I,0.667,0.667,0.667
07/A1,B,I,0.667,0.667,0.667
07/C1,B,I,0.737,0.609,0.667
12/E1,NB,I,0.651,0.683,0.667
03/A2,B,I,0.645,0.682,0.663
09/B3,B,I,0.733,0.579,0.647
11/A5,NB,I,0.704,0.594,0.644
10/G1,NB,I,0.686,0.603,0.642
01/A5,B,I,0.615,0.667,0.640
06/D6,B,I,0.638,0.638,0.638
06/D5,B,I,0.625,0.652,0.638
10/M1,NB,I,0.710,0.579,0.638
09/D2,B,I,0.609,0.667,0.636
10/N3,NB,I,0.600,0.667,0.632
05/H1,B,I,0.612,0.652,0.632
07/G1,B,I,0.609,0.636,0.622
07/E1,B,I,0.610,0.625,0.617
09/E2,B,I,0.571,0.667,0.615
07/H5,B,I,0.583,0.636,0.609
10/D4,NB,I,0.615,0.600,0.608
12/H2,NB,I,0.556,0.667,0.606
05/C1,B,I,0.667,0.545,0.600
07/H2,B,I,0.667,0.545,0.600
10/E1,NB,I,0.583,0.609,0.596
01/A3,B,I,0.627,0.566,0.595
06/D4,B,I,0.657,0.535,0.590
03/B2,B,I,0.750,0.462,0.571
06/D2,B,I,0.579,0.564,0.571
13/A3,NB,I,0.613,0.528,0.567
10/A1,NB,I,0.574,0.557,0.565
13/B4,NB,I,0.679,0.475,0.559
06/A1,B,I,0.536,0.536,0.536
12/B1,NB,I,0.571,0.500,0.533
08/B1,B,I,0.545,0.429,0.480
13/B5,NB,I,0.500,0.429,0.462
07/H3,B,I,0.455,0.417,0.435
02/A2,B,I,0.656,0.304,0.416
02/B1,B,I,0.486,0.243,0.324
03/B1,B,I,0.429,0.250,0.316
07/F2,B,I,0.375,0.273,0.316
10/I1,NB,I,0.417,0.238,0.303
07/D1,B,I,0.600,0.200,0.300
02/A1,B,I,0.326,0.097,0.150
05/F1,B,I,0.250,0.030,0.054
06/F3,B,I,0.000,0.000,0.000
07/F1,B,II,0.928,0.951,0.939
05/I1,B,II,0.851,1.000,0.919
09/D1,B,II,0.878,0.959,0.917
14/C1,NB,II,0.850,0.994,0.916
