Recruitment Field,Precision,Recall,F-Measure
Recruitment Field,Precision,Recall,F-Measure
11/E4,0.903,0.940,0.921
07/F1,0.894,0.938,0.916
09/D1,0.878,0.935,0.906
14/C2,0.889,0.917,0.903
06/F2,0.896,0.896,0.896
05/I1,0.876,0.908,0.892
14/C1,0.872,0.909,0.890
11/D2,0.898,0.879,0.888
08/D1,0.866,0.906,0.886
06/N1,0.827,0.932,0.877
11/D1,0.848,0.906,0.876
12/D2,0.868,0.868,0.868
05/G1,0.838,0.892,0.864
06/L1,0.819,0.906,0.860
11/E2,0.849,0.861,0.855
08/C1,0.840,0.870,0.855
10/F1,0.810,0.898,0.852
12/E1,0.831,0.873,0.851
05/H2,0.823,0.872,0.846
06/A2,0.804,0.889,0.844
11/A4,0.798,0.896,0.844
06/M1,0.807,0.883,0.843
02/B3,0.806,0.883,0.843
09/F1,0.836,0.848,0.842
08/A2,0.846,0.830,0.838
05/B1,0.801,0.880,0.838
12/B1,0.810,0.867,0.838
06/M2,0.817,0.860,0.838
10/C1,0.796,0.882,0.837
10/D1,0.813,0.862,0.837
04/A4,0.794,0.883,0.836
13/B3,0.815,0.852,0.833
06/B1,0.807,0.861,0.833
14/D1,0.828,0.833,0.831
09/E2,0.800,0.865,0.831
12/D1,0.800,0.862,0.830
05/E1,0.788,0.876,0.830
10/B1,0.776,0.890,0.829
13/B2,0.837,0.818,0.828
09/F2,0.810,0.835,0.822
06/F4,0.784,0.859,0.820
11/E3,0.819,0.819,0.819
06/A3,0.821,0.815,0.818
13/D3,0.773,0.866,0.817
08/E2,0.770,0.867,0.816
09/E4,0.803,0.828,0.815
08/A3,0.800,0.831,0.815
09/B3,0.776,0.844,0.809
12/A1,0.785,0.833,0.809
09/G2,0.772,0.838,0.804
11/C5,0.734,0.882,0.801
12/C1,0.796,0.807,0.801
03/D1,0.801,0.796,0.799
05/B2,0.790,0.801,0.796
06/E1,0.759,0.835,0.795
09/D3,0.821,0.767,0.793
08/B3,0.807,0.780,0.793
05/A1,0.739,0.855,0.792
06/D1,0.757,0.830,0.792
09/H1,0.762,0.823,0.791
05/E2,0.728,0.863,0.790
11/A1,0.760,0.821,0.790
12/G1,0.784,0.795,0.789
08/E1,0.762,0.816,0.788
11/A5,0.752,0.828,0.788
14/B1,0.742,0.833,0.785
06/C1,0.750,0.821,0.784
12/F1,0.760,0.809,0.784
05/A2,0.771,0.794,0.783
11/C1,0.714,0.866,0.783
06/A1,0.740,0.828,0.782
11/A2,0.735,0.826,0.778
07/B1,0.783,0.774,0.778
13/D1,0.750,0.806,0.777
09/C2,0.740,0.817,0.777
11/A3,0.708,0.857,0.776
06/I1,0.766,0.787,0.776
06/E2,0.730,0.824,0.774
08/B2,0.788,0.759,0.774
10/F2,0.727,0.824,0.772
09/E1,0.778,0.764,0.771
09/E3,0.764,0.776,0.770
08/A1,0.753,0.784,0.768
09/C1,0.761,0.773,0.767
06/G1,0.754,0.781,0.767
04/A3,0.705,0.833,0.764
06/H1,0.720,0.808,0.761
13/B5,0.731,0.792,0.760
14/A2,0.755,0.763,0.759
05/D1,0.729,0.790,0.758
01/A3,0.752,0.762,0.757
06/D2,0.750,0.763,0.757
02/C1,0.726,0.789,0.756
10/G1,0.710,0.807,0.755
11/C4,0.711,0.802,0.754
01/B1,0.729,0.781,0.754
06/D3,0.735,0.773,0.753
01/A4,0.702,0.807,0.751
10/D3,0.722,0.783,0.751
12/E3,0.684,0.831,0.750
13/A4,0.704,0.798,0.748
06/F1,0.706,0.791,0.746
01/A5,0.774,0.719,0.745
03/B1,0.703,0.790,0.744
12/G2,0.750,0.733,0.742
05/H1,0.683,0.808,0.740
06/A4,0.683,0.804,0.739
05/C1,0.694,0.789,0.738
13/A1,0.707,0.771,0.737
03/A1,0.692,0.783,0.735
14/A1,0.667,0.814,0.733
09/A2,0.688,0.786,0.733
12/E2,0.717,0.750,0.733
08/F1,0.681,0.788,0.730
11/C2,0.696,0.764,0.729
13/B1,0.699,0.752,0.724
10/D4,0.676,0.780,0.724
12/B2,0.731,0.717,0.724
03/C2,0.705,0.738,0.721
07/B2,0.663,0.788,0.720
11/C3,0.655,0.796,0.719
07/G1,0.698,0.732,0.714
13/A3,0.688,0.736,0.711
07/C1,0.690,0.727,0.708
02/B2,0.677,0.739,0.707
09/D2,0.706,0.706,0.706
07/D1,0.663,0.740,0.699
08/A4,0.672,0.722,0.696
10/L1,0.664,0.722,0.692
06/D6,0.652,0.737,0.692
12/C2,0.692,0.692,0.692
10/A1,0.657,0.724,0.689
12/H3,0.675,0.701,0.688
03/C1,0.689,0.676,0.682
03/A2,0.655,0.708,0.681
09/A1,0.649,0.709,0.678
07/H2,0.629,0.733,0.677
03/D2,0.667,0.688,0.677
10/N1,0.638,0.717,0.675
13/D2,0.649,0.694,0.671
13/D4,0.658,0.685,0.671
06/D4,0.654,0.680,0.667
04/A2,0.602,0.746,0.667
10/E1,0.600,0.750,0.667
06/D5,0.617,0.712,0.661
09/A3,0.673,0.649,0.661
09/G1,0.657,0.657,0.657
04/A1,0.620,0.662,0.641
06/E3,0.627,0.653,0.640
01/A2,0.627,0.646,0.637
10/M2,0.617,0.659,0.637
05/F1,0.656,0.615,0.635
07/H4,0.579,0.688,0.629
07/E1,0.600,0.652,0.625
13/B4,0.606,0.642,0.623
10/M1,0.582,0.667,0.622
11/E1,0.632,0.605,0.618
07/H1,0.581,0.643,0.610
11/B1,0.570,0.654,0.609
01/A1,0.566,0.652,0.606
12/H2,0.650,0.565,0.605
02/B1,0.616,0.588,0.602
10/H1,0.538,0.648,0.588
13/C1,0.553,0.627,0.587
03/B2,0.614,0.563,0.587
10/I1,0.574,0.596,0.585
13/A2,0.613,0.553,0.582
09/B1,0.615,0.533,0.571
14/B2,0.514,0.632,0.567
07/H3,0.517,0.625,0.566
10/F3,0.530,0.603,0.565
10/D2,0.520,0.609,0.561
07/F2,0.545,0.571,0.558
10/N3,0.521,0.581,0.549
01/A6,0.536,0.556,0.545
07/A1,0.500,0.571,0.533
13/A5,0.486,0.472,0.479
08/B1,0.500,0.455,0.476
06/F3,0.563,0.360,0.439
07/H5,0.368,0.467,0.412
02/A2,0.500,0.185,0.270
12/H1,0.261,0.273,0.267
09/B2,0.250,0.200,0.222
02/A1,0.259,0.051,0.085
